Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai i20,Hyundai,2011,"38,431 km",Petrol,Manual,"EMI ₹24,211/m*",₹2.29 lakh
Hyundai Eon,Hyundai,2018,"45,256 km",Petrol,Manual,"EMI ₹5,119/m*",₹2.90 lakh
Fiat Grand Punto,Fiat,2011,"92,083 km",Diesel,Manual,"EMI ₹5,119/m*",₹1.20 lakh
Tata Indica Vista,Tata,2011,"1,58,160 km",Diesel,Manual,"EMI ₹5,119/m*",₹1.10 lakh
Volkswagen Polo,Volkswagen,2020,"48,712 km",Petrol,Manual,"EMI ₹13,822/m*",₹7.83 lakh
Tata Bolt,Tata,2015,"58,307 km",Petrol,Manual,"EMI ₹7,900/m*",₹3.00 lakh
Datsun Redi Go,Datsun,2018,"61,071 km",Petrol,Auto,"EMI ₹6,006/m*",₹2.70 lakh
BMW X5,BMW,2014,"1,37,281 km",Diesel,Auto,"EMI ₹93,216/m*",₹20.00 lakh
Maruti Vitara Brezza,Maruti,2017,"54,848 km",Diesel,Manual,"EMI ₹16,394/m*",₹7.37 lakh
Renault Kwid,Renault,2019,"49,722 km",Petrol,Auto,"EMI ₹6,796/m*",₹3.85 lakh
Mahindra TUV300,Mahindra,2016,"52,473 km",Diesel,Manual,"EMI ₹13,404/m*",₹5.09 lakh
Maruti Swift,Maruti,2013,"1,11,254 km",Diesel,Manual,"EMI ₹29,675/m*",₹3.34 lakh
Renault Kwid,Renault,2017,"79,092 km",Petrol,Auto,"EMI ₹5,904/m*",₹3.02 lakh
Ford Classic,Ford,2012,"1,17,270 km",Diesel,Manual,"EMI ₹5,904/m*",₹2.00 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"24,704 km",Petrol,Manual,"EMI ₹8,632/m*",₹4.89 lakh
Mahindra TUV300,Mahindra,2016,"1,17,465 km",Diesel,Manual,"EMI ₹13,588/m*",₹5.16 lakh
Volkswagen Vento,Volkswagen,2011,"1,04,743 km",Petrol,Auto,"EMI ₹13,588/m*",₹2.64 lakh
Renault Kwid,Renault,2017,"64,262 km",Petrol,Auto,"EMI ₹5,376/m*",₹2.75 lakh
Skoda Rapid,Skoda,2017,"83,376 km",Diesel,Manual,"EMI ₹14,615/m*",₹6.57 lakh
Renault TRIBER,Renault,2020,"16,550 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"14,929 km",Petrol,Auto,"EMI ₹10,592/m*",₹6.00 lakh
Renault TRIBER,Renault,2023,"18,151 km",Petrol,Manual,"EMI ₹12,533/m*",₹7.10 lakh
Tata NEXON EV,Tata,2024,"28,801 km",Electric,Auto,"EMI ₹27,293/m*",₹15.94 lakh
Hyundai i10,Hyundai,2010,"1,12,858 km",Petrol,Manual,"EMI ₹27,293/m*",₹2.03 lakh
Volkswagen Passat,Volkswagen,2012,"1,00,001 km",Diesel,Auto,"EMI ₹27,293/m*",₹4.89 lakh
Hyundai i20,Hyundai,2012,"1,25,770 km",Diesel,Manual,"EMI ₹27,293/m*",₹3.72 lakh
Hyundai i10,Hyundai,2012,"42,123 km",Petrol,Manual,"EMI ₹27,543/m*",₹3.10 lakh
Maruti Swift Dzire,Maruti,2014,"1,38,575 km",Petrol,Manual,"EMI ₹9,931/m*",₹2.99 lakh
Maruti Celerio,Maruti,2017,"84,633 km",Petrol,Auto,"EMI ₹5,474/m*",₹2.80 lakh
Skoda Rapid,Skoda,2013,"1,01,557 km",Petrol,Manual,"EMI ₹15,723/m*",₹3.34 lakh
Maruti Baleno,Maruti,2017,"1,44,244 km",Petrol,Manual,"EMI ₹11,078/m*",₹4.98 lakh
Honda Amaze,Honda,2013,"1,25,870 km",Petrol,Manual,"EMI ₹11,863/m*",₹2.52 lakh
Maruti OMNI E,Maruti,2012,"56,795 km",Petrol,Manual,"EMI ₹20,613/m*",₹2.32 lakh
Volkswagen Polo,Volkswagen,2014,"62,551 km",Petrol,Auto,"EMI ₹15,445/m*",₹4.65 lakh
Maruti Alto 800,Maruti,2015,"36,432 km",Petrol,Manual,"EMI ₹6,662/m*",₹2.53 lakh
Maruti Swift Dzire,Maruti,2014,"58,250 km",Petrol,Manual,"EMI ₹12,954/m*",₹3.90 lakh
Chevrolet Beat,Chevrolet,2013,"1,36,040 km",Petrol,Manual,"EMI ₹4,425/m*",₹0.94 lakh
Honda Accord,Honda,2011,"95,081 km",Petrol,Auto,"EMI ₹4,425/m*",₹4.24 lakh
Maruti Celerio,Maruti,2014,"73,925 km",Petrol,Auto,"EMI ₹12,854/m*",₹3.87 lakh
Maruti Celerio,Maruti,2015,"72,958 km",Petrol,Auto,"EMI ₹8,295/m*",₹3.15 lakh
Tata NEXON,Tata,2019,"91,001 km",Diesel,Auto,"EMI ₹9,480/m*",₹5.37 lakh
Maruti Celerio,Maruti,2014,"1,00,355 km",Petrol,Manual,"EMI ₹9,134/m*",₹2.75 lakh
Hyundai Creta,Hyundai,2018,"35,861 km",Petrol,Manual,"EMI ₹12,145/m*",₹6.88 lakh
Maruti Alto,Maruti,2011,"77,339 km",Petrol,Manual,"EMI ₹12,145/m*",₹2.00 lakh
Nissan Micra,Nissan,2012,"1,11,323 km",Petrol,Manual,"EMI ₹14,216/m*",₹1.60 lakh
Maruti Swift,Maruti,2012,"36,367 km",Petrol,Manual,"EMI ₹27,365/m*",₹3.08 lakh
Hyundai i20,Hyundai,2011,"1,54,487 km",Diesel,Manual,"EMI ₹27,365/m*",₹1.83 lakh
Maruti Swift Dzire,Maruti,2013,"1,29,773 km",Diesel,Manual,"EMI ₹24,967/m*",₹2.81 lakh
Maruti Swift,Maruti,2019,"1,44,734 km",Diesel,Manual,"EMI ₹14,392/m*",₹6.47 lakh
Renault Duster,Renault,2013,"1,02,931 km",Diesel,Manual,"EMI ₹37,228/m*",₹4.19 lakh
Volkswagen Polo,Volkswagen,2013,"1,05,000 km",Diesel,Manual,"EMI ₹23,367/m*",₹2.63 lakh
Maruti Ertiga,Maruti,2022,"24,345 km",Petrol,Manual,"EMI ₹16,181/m*",₹9.45 lakh
Tata NEXON,Tata,2021,"36,685 km",Petrol,Manual,"EMI ₹14,554/m*",₹8.50 lakh
