Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Swift Dzire,Maruti,2013,"61,591 km",Petrol,Manual,"EMI ₹10,356/m*",₹2.20 lakh
Maruti Wagon R 1.0,Maruti,2013,"72,501 km",Petrol,Manual,"EMI ₹7,626/m*",₹1.62 lakh
Hyundai i20,Hyundai,2015,"89,694 km",Petrol,Auto,"EMI ₹7,847/m*",₹2.98 lakh
Maruti Swift,Maruti,2014,"90,991 km",Diesel,Manual,"EMI ₹12,145/m*",₹2.58 lakh
Maruti Swift Dzire,Maruti,2013,"2,77,140 km",Diesel,Manual,"EMI ₹10,573/m*",₹1.19 lakh
Volkswagen Ameo,Volkswagen,2016,"1,06,042 km",Diesel,Auto,"EMI ₹7,215/m*",₹2.74 lakh
Volkswagen Jetta,Volkswagen,2012,"1,21,328 km",Diesel,Auto,"EMI ₹7,215/m*",₹4.42 lakh
Mercedes Benz C Class,Mercedes,2012,"1,18,395 km",Diesel,Auto,"EMI ₹7,215/m*",₹2.57 lakh
Maruti Wagon R 1.0,Maruti,2013,"1,05,962 km",Petrol,Manual,"EMI ₹7,296/m*",₹1.55 lakh
Maruti Alto,Maruti,2021,"42,757 km",Petrol,Manual,"EMI ₹4,413/m*",₹2.50 lakh
Maruti Eeco,Maruti,2023,"63,134 km",Petrol,Manual,"EMI ₹6,161/m*",₹3.49 lakh
Maruti Swift Dzire,Maruti,2014,"1,11,693 km",Diesel,Manual,"EMI ₹11,721/m*",₹2.49 lakh
Maruti Swift,Maruti,2014,"1,90,884 km",Diesel,Manual,"EMI ₹10,121/m*",₹2.15 lakh
Maruti Swift Dzire,Maruti,2015,"37,274 km",Petrol,Manual,"EMI ₹8,954/m*",₹3.40 lakh
Hyundai GRAND I10 NIOS,Hyundai,2019,"50,152 km",Petrol,Manual,"EMI ₹6,267/m*",₹3.55 lakh
Maruti Swift Dzire,Maruti,2014,"75,803 km",Petrol,Manual,"EMI ₹11,226/m*",₹3.38 lakh
Maruti Swift,Maruti,2013,"62,498 km",Diesel,Manual,"EMI ₹19,014/m*",₹2.14 lakh
Maruti Swift,Maruti,2021,"36,911 km",Petrol,Manual,"EMI ₹8,738/m*",₹4.95 lakh
Maruti Swift,Maruti,2012,"1,19,457 km",Diesel,Manual,"EMI ₹8,738/m*",₹1.94 lakh
Renault Kwid,Renault,2018,"46,915 km",Petrol,Manual,"EMI ₹3,954/m*",₹2.24 lakh
Maruti Celerio,Maruti,2015,"1,24,050 km",Petrol,Manual,"EMI ₹5,319/m*",₹2.02 lakh
Maruti Swift,Maruti,2015,"1,14,614 km",Diesel,Manual,"EMI ₹9,798/m*",₹2.95 lakh
Maruti Wagon R 1.0,Maruti,2014,"68,222 km",Petrol,Manual,"EMI ₹6,244/m*",₹1.88 lakh
Honda Amaze,Honda,2015,"88,294 km",Diesel,Manual,"EMI ₹7,374/m*",₹2.22 lakh
Ford Ecosport,Ford,2016,"62,580 km",Diesel,Manual,"EMI ₹7,531/m*",₹2.86 lakh
Honda Brio,Honda,2013,"83,134 km",Petrol,Manual,"EMI ₹5,418/m*",₹1.15 lakh
Jaguar XF,Jaguar,2015,"1,55,950 km",Diesel,Auto,"EMI ₹26,191/m*",₹8.00 lakh
Renault Duster,Renault,2014,"1,14,624 km",Diesel,Manual,"EMI ₹9,791/m*",₹2.08 lakh
Hyundai Elite i20,Hyundai,2017,"81,375 km",Diesel,Manual,"EMI ₹7,452/m*",₹3.35 lakh
Ford Ecosport,Ford,2014,"1,17,059 km",Diesel,Manual,"EMI ₹8,756/m*",₹1.86 lakh
Honda Amaze,Honda,2014,"62,531 km",Petrol,Manual,"EMI ₹6,576/m*",₹1.98 lakh
Maruti Alto K10,Maruti,2014,"94,403 km",Petrol,Manual,"EMI ₹5,414/m*",₹1.63 lakh
Maruti Vitara Brezza,Maruti,2016,"75,779 km",Diesel,Manual,"EMI ₹9,770/m*",₹3.71 lakh
Mahindra XUV500,Mahindra,2013,"73,010 km",Diesel,Manual,"EMI ₹20,169/m*",₹2.27 lakh
Mahindra TUV300,Mahindra,2018,"1,20,160 km",Diesel,Manual,"EMI ₹7,207/m*",₹3.24 lakh
Maruti Wagon R 1.0,Maruti,2014,"2,88,683 km",Petrol,Manual,"EMI ₹6,676/m*",₹2.01 lakh
Maruti Wagon R 1.0,Maruti,2013,"41,029 km",Petrol,Manual,"EMI ₹7,532/m*",₹1.60 lakh
Maruti Wagon R 1.0,Maruti,2017,"72,009 km",Petrol,Manual,"EMI ₹5,103/m*",₹2.61 lakh
Maruti Wagon R 1.0,Maruti,2015,"41,625 km",Petrol,Manual,"EMI ₹6,083/m*",₹2.31 lakh
Maruti Baleno,Maruti,2017,"53,082 km",Petrol,Manual,"EMI ₹8,915/m*",₹4.56 lakh
Hyundai Grand i10,Hyundai,2017,"1,07,230 km",Petrol,Manual,"EMI ₹5,784/m*",₹2.60 lakh
Maruti Ertiga,Maruti,2015,"37,757 km",Petrol,Manual,"EMI ₹10,086/m*",₹3.83 lakh
Maruti Swift,Maruti,2015,"1,40,480 km",Petrol,Manual,"EMI ₹8,111/m*",₹3.08 lakh
Maruti Swift Dzire,Maruti,2014,"1,46,456 km",Diesel,Manual,"EMI ₹10,027/m*",₹2.13 lakh
KIA CARENS,KIA,2024,"13,681 km",Petrol,Manual,"EMI ₹19,348/m*",₹11.30 lakh
Honda Amaze,Honda,2013,"1,68,500 km",Diesel,Manual,"EMI ₹13,327/m*",₹1.50 lakh
Tata Tiago,Tata,2018,"1,11,762 km",Diesel,Manual,"EMI ₹5,339/m*",₹2.40 lakh
Maruti Wagon R 1.0,Maruti,2016,"1,02,548 km",Petrol,Manual,"EMI ₹4,805/m*",₹2.16 lakh
Maruti Swift,Maruti,2015,"1,29,375 km",Petrol,Manual,"EMI ₹5,267/m*",₹2.00 lakh
Maruti Alto 800,Maruti,2018,"63,838 km",Petrol,Manual,"EMI ₹3,283/m*",₹1.86 lakh
Hyundai i10,Hyundai,2013,"21,752 km",Petrol,Manual,"EMI ₹7,249/m*",₹1.54 lakh
Honda City,Honda,2014,"1,70,742 km",Diesel,Manual,"EMI ₹10,921/m*",₹2.32 lakh
Hyundai GRAND I10 NIOS,Hyundai,2020,"51,791 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
Maruti Wagon R 1.0,Maruti,2015,"18,663 km",Petrol,Manual,"EMI ₹6,346/m*",₹2.41 lakh
Maruti Wagon R 1.0,Maruti,2017,"87,640 km",Petrol,Manual,"EMI ₹5,005/m*",₹2.56 lakh
Maruti Swift,Maruti,2012,"95,641 km",Diesel,Manual,"EMI ₹5,005/m*",₹2.20 lakh
Honda Brio,Honda,2014,"83,979 km",Petrol,Manual,"EMI ₹6,344/m*",₹1.91 lakh
Maruti Alto 800,Maruti,2018,"73,600 km",Petrol,Manual,"EMI ₹3,566/m*",₹2.02 lakh
Maruti Wagon R 1.0,Maruti,2014,"1,66,646 km",Petrol,Manual,"EMI ₹6,045/m*",₹1.82 lakh
Honda Amaze,Honda,2014,"90,232 km",Petrol,Manual,"EMI ₹9,333/m*",₹2.81 lakh
