Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Honda City,Honda,2014,"63,249 km",Petrol,Manual,"EMI ₹8,769/m*",₹2.64 lakh
Audi A4,Audi,2022,"35,016 km",Petrol,Auto,"EMI ₹50,939/m*",₹29.75 lakh
Maruti Alto K10,Maruti,2016,"27,630 km",CNG,Manual,"EMI ₹6,371/m*",₹1.92 lakh
Jeep Compass,Jeep,2019,"81,091 km",Petrol,Auto,"EMI ₹15,239/m*",₹8.90 lakh
Hyundai Verna,Hyundai,2019,"76,503 km",Petrol,Manual,"EMI ₹10,330/m*",₹5.85 lakh
Honda WR-V,Honda,2018,"22,342 km",Petrol,Manual,"EMI ₹8,883/m*",₹5.03 lakh
MG HECTOR PLUS,MG,2024,"14,063 km",Petrol,Auto,"EMI ₹34,673/m*",₹20.25 lakh
Hyundai i10,Hyundai,2012,"38,053 km",Petrol,Manual,"EMI ₹15,922/m*",₹1.79 lakh
Maruti IGNIS,Maruti,2017,"55,514 km",Petrol,Auto,"EMI ₹5,292/m*",₹2.71 lakh
Honda Civic,Honda,2019,"54,002 km",Petrol,Auto,"EMI ₹17,722/m*",₹10.35 lakh
Hyundai Creta,Hyundai,2022,"76,230 km",Petrol,Auto,"EMI ₹20,330/m*",₹11.87 lakh
Jeep Compass,Jeep,2018,"40,683 km",Petrol,Manual,"EMI ₹10,680/m*",₹6.05 lakh
Maruti S PRESSO,Maruti,2020,"33,225 km",Petrol,Manual,"EMI ₹5,713/m*",₹3.24 lakh
Volkswagen TAIGUN,Volkswagen,2022,"38,709 km",Petrol,Auto,"EMI ₹17,550/m*",₹10.25 lakh
Maruti Wagon R 1.0,Maruti,2016,"1,28,889 km",Petrol,Manual,"EMI ₹3,960/m*",₹1.78 lakh
Mercedes Benz GLC CLASS,Mercedes,2016,"56,130 km",Diesel,Auto,"EMI ₹60,091/m*",₹23.25 lakh
Maruti Swift,Maruti,2016,"99,872 km",Petrol,Manual,"EMI ₹6,453/m*",₹2.90 lakh
Tata NEXON,Tata,2021,"52,465 km",Petrol,Auto,"EMI ₹12,812/m*",₹7.26 lakh
Jaguar XF,Jaguar,2015,"36,442 km",Petrol,Auto,"EMI ₹34,245/m*",₹13.25 lakh
Hyundai Grand i10,Hyundai,2018,"53,194 km",Petrol,Manual,"EMI ₹5,474/m*",₹3.10 lakh
Maruti S Cross,Maruti,2015,"92,164 km",Diesel,Manual,"EMI ₹15,714/m*",₹4.73 lakh
Nissan MAGNITE,Nissan,2025,"9,264 km",Petrol,Manual,"EMI ₹11,933/m*",₹6.76 lakh
Tata ALTROZ,Tata,2023,"39,430 km",Petrol,Auto,"EMI ₹13,082/m*",₹7.41 lakh
Maruti New Wagon-R,Maruti,2019,"25,027 km",Petrol,Manual,"EMI ₹6,108/m*",₹3.46 lakh
Tata ALTROZ,Tata,2023,"25,451 km",Diesel,Manual,"EMI ₹13,331/m*",₹7.55 lakh
Volkswagen Ameo,Volkswagen,2019,"39,830 km",Diesel,Auto,"EMI ₹9,884/m*",₹5.60 lakh
Renault Kwid,Renault,2016,"62,857 km",Petrol,Manual,"EMI ₹4,007/m*",₹1.80 lakh
Maruti Baleno,Maruti,2016,"47,373 km",Petrol,Manual,"EMI ₹8,008/m*",₹3.60 lakh
Toyota Innova Crysta,Toyota,2022,"68,122 km",Diesel,Manual,"EMI ₹34,074/m*",₹19.90 lakh
Hyundai Creta,Hyundai,2019,"46,498 km",Petrol,Auto,"EMI ₹16,266/m*",₹9.50 lakh
Hyundai Verna,Hyundai,2014,"69,212 km",Diesel,Auto,"EMI ₹16,193/m*",₹3.44 lakh
Jeep MERIDIAN,Jeep,2022,"39,739 km",Diesel,Auto,"EMI ₹40,221/m*",₹23.49 lakh
Mercedes Benz CLS Class,Mercedes,2015,"31,794 km",Diesel,Auto,"EMI ₹83,484/m*",₹25.50 lakh
Maruti Celerio,Maruti,2020,"42,127 km",Petrol,Auto,"EMI ₹5,702/m*",₹3.23 lakh
Landrover DISCOVERY SPORT,Landrover,2020,"56,121 km",Diesel,Auto,"EMI ₹66,349/m*",₹38.75 lakh
Hyundai i20,Hyundai,2012,"44,329 km",Petrol,Manual,"EMI ₹15,460/m*",₹1.74 lakh
Maruti Celerio,Maruti,2014,"72,043 km",Petrol,Auto,"EMI ₹6,942/m*",₹2.09 lakh
Maruti S PRESSO,Maruti,2021,"28,162 km",Petrol,Manual,"EMI ₹5,013/m*",₹2.84 lakh
BMW X1,BMW,2017,"48,094 km",Diesel,Auto,"EMI ₹33,701/m*",₹15.50 lakh
Hyundai Creta,Hyundai,2015,"88,122 km",Diesel,Manual,"EMI ₹19,465/m*",₹5.86 lakh
Hyundai Creta,Hyundai,2017,"1,17,634 km",CNG,Auto,"EMI ₹14,789/m*",₹5.62 lakh
Hyundai Elite i20,Hyundai,2017,"38,194 km",Petrol,Manual,"EMI ₹7,253/m*",₹3.71 lakh
Tata NEXON,Tata,2021,"1,22,716 km",Petrol,Manual,"EMI ₹10,766/m*",₹4.84 lakh
BMW X7,BMW,2021,"40,603 km",Diesel,Auto,"EMI ₹133,538/m*",₹77.99 lakh
Landrover DISCOVERY SPORT,Landrover,2020,"49,183 km",Diesel,Auto,"EMI ₹68,062/m*",₹39.75 lakh
Maruti IGNIS,Maruti,2018,"80,765 km",CNG,Manual,"EMI ₹7,794/m*",₹3.50 lakh
Volkswagen Ameo,Volkswagen,2017,"1,48,441 km",Diesel,Auto,"EMI ₹6,050/m*",₹2.72 lakh
Tata ALTROZ,Tata,2023,"8,733 km",Petrol,Auto,"EMI ₹12,088/m*",₹6.85 lakh
Volkswagen Polo,Volkswagen,2017,"72,046 km",Petrol,Auto,"EMI ₹10,416/m*",₹5.33 lakh
Mahindra Kuv100,Mahindra,2016,"64,900 km",Petrol,Manual,"EMI ₹4,856/m*",₹2.18 lakh
Hyundai AURA,Hyundai,2023,"47,649 km",Petrol,Auto,"EMI ₹9,833/m*",₹5.57 lakh
Honda City,Honda,2018,"47,275 km",Petrol,Auto,"EMI ₹9,342/m*",₹5.29 lakh
Renault Kiger,Renault,2021,"57,005 km",Petrol,Manual,"EMI ₹7,626/m*",₹4.32 lakh
KIA SELTOS,KIA,2020,"50,084 km",Petrol,Auto,"EMI ₹20,025/m*",₹11.70 lakh
Skoda Rapid,Skoda,2018,"75,083 km",Petrol,Auto,"EMI ₹7,255/m*",₹4.11 lakh
Nissan MAGNITE,Nissan,2021,"34,722 km",Petrol,Manual,"EMI ₹8,169/m*",₹4.63 lakh
Maruti Vitara Brezza,Maruti,2020,"12,270 km",Petrol,Manual,"EMI ₹12,269/m*",₹6.95 lakh
Maruti Ertiga,Maruti,2014,"67,755 km",CNG,Manual,"EMI ₹42,619/m*",₹4.80 lakh
Ford New Figo,Ford,2017,"49,256 km",Petrol,Manual,"EMI ₹4,966/m*",₹2.54 lakh
Maruti Alto 800,Maruti,2017,"63,883 km",Petrol,Manual,"EMI ₹3,695/m*",₹1.89 lakh
Tata Tiago,Tata,2017,"1,15,243 km",Petrol,Auto,"EMI ₹6,028/m*",₹2.71 lakh
Hyundai Grand i10,Hyundai,2014,"45,221 km",Petrol,Manual,"EMI ₹6,931/m*",₹2.09 lakh
Honda Amaze,Honda,2020,"83,828 km",Petrol,Manual,"EMI ₹7,552/m*",₹4.28 lakh
Renault Kwid,Renault,2017,"1,28,262 km",CNG,Manual,"EMI ₹5,398/m*",₹2.05 lakh
Nissan Terrano,Nissan,2014,"89,284 km",Diesel,Manual,"EMI ₹11,509/m*",₹2.44 lakh
Honda City,Honda,2016,"1,09,591 km",Petrol,Manual,"EMI ₹8,944/m*",₹4.02 lakh
Honda Amaze,Honda,2018,"39,340 km",Petrol,Auto,"EMI ₹8,209/m*",₹4.65 lakh
Hyundai Xcent,Hyundai,2015,"72,851 km",Petrol,Manual,"EMI ₹9,116/m*",₹3.46 lakh
Toyota Etios Liva,Toyota,2013,"26,072 km",Petrol,Manual,"EMI ₹8,097/m*",₹1.72 lakh
Maruti Swift Dzire,Maruti,2015,"55,839 km",Petrol,Manual,"EMI ₹7,763/m*",₹2.95 lakh
Maruti Dzire,Maruti,2018,"60,333 km",Petrol,Auto,"EMI ₹7,855/m*",₹4.45 lakh
Ford Ecosport,Ford,2013,"46,078 km",Petrol,Manual,"EMI ₹12,008/m*",₹2.55 lakh
Tata PUNCH,Tata,2021,"65,737 km",Petrol,Manual,"EMI ₹8,279/m*",₹4.69 lakh
Tata Tiago,Tata,2020,"32,882 km",Petrol,Manual,"EMI ₹6,267/m*",₹3.55 lakh
Renault Kwid,Renault,2015,"34,594 km",Petrol,Manual,"EMI ₹4,345/m*",₹1.65 lakh
Datsun Redi Go,Datsun,2018,"20,918 km",Petrol,Auto,"EMI ₹3,937/m*",₹2.23 lakh
Tata ALTROZ,Tata,2020,"15,509 km",Petrol,Manual,"EMI ₹9,081/m*",₹5.14 lakh
KIA SELTOS,KIA,2020,"63,799 km",Petrol,Auto,"EMI ₹18,743/m*",₹10.95 lakh
Hyundai Elite i20,Hyundai,2015,"66,585 km",Petrol,Manual,"EMI ₹9,744/m*",₹3.70 lakh
Maruti Swift Dzire,Maruti,2014,"56,891 km",Petrol,Manual,"EMI ₹8,243/m*",₹2.48 lakh
Tata NEXON,Tata,2024,"7,192 km",Petrol,Auto,"EMI ₹14,775/m*",₹8.63 lakh
KIA SELTOS,KIA,2021,"74,425 km",Diesel,Auto,"EMI ₹14,982/m*",₹8.75 lakh
Tata ALTROZ,Tata,2024,"5,443 km",Petrol,Manual,"EMI ₹13,646/m*",₹7.73 lakh
Honda WR-V,Honda,2018,"42,086 km",Diesel,Manual,"EMI ₹10,562/m*",₹5.40 lakh
Hyundai Creta,Hyundai,2022,"67,927 km",Diesel,Manual,"EMI ₹22,071/m*",₹12.89 lakh
Maruti Wagon R 1.0,Maruti,2016,"15,712 km",Petrol,Auto,"EMI ₹5,632/m*",₹2.53 lakh
Skoda Rapid,Skoda,2015,"1,33,941 km",Diesel,Manual,"EMI ₹9,084/m*",₹2.73 lakh
Maruti Alto 800,Maruti,2013,"25,432 km",CNG,Manual,"EMI ₹9,084/m*",₹1.62 lakh
Hyundai EXTER,Hyundai,2024,"24,821 km",CNG,Manual,"EMI ₹14,556/m*",₹8.50 lakh
Hyundai Grand i10,Hyundai,2015,"43,158 km",Petrol,Manual,"EMI ₹6,662/m*",₹2.53 lakh
Honda BR-V,Honda,2017,"75,974 km",Petrol,Manual,"EMI ₹10,235/m*",₹5.24 lakh
Honda Amaze,Honda,2015,"51,855 km",Petrol,Manual,"EMI ₹6,452/m*",₹2.45 lakh
Toyota Etios Liva,Toyota,2015,"91,886 km",Petrol,Manual,"EMI ₹5,319/m*",₹2.02 lakh
Maruti New Wagon-R,Maruti,2021,"68,180 km",CNG,Manual,"EMI ₹7,396/m*",₹4.19 lakh
Honda City,Honda,2022,"86,355 km",Diesel,Manual,"EMI ₹14,157/m*",₹8.27 lakh
Maruti Wagon R 1.0,Maruti,2016,"48,590 km",Petrol,Auto,"EMI ₹5,272/m*",₹2.37 lakh
Tata Tiago,Tata,2022,"35,556 km",CNG,Manual,"EMI ₹8,438/m*",₹4.78 lakh
Toyota Innova,Toyota,2014,"1,70,000 km",Diesel,Manual,"EMI ₹23,772/m*",₹5.05 lakh
Maruti Celerio,Maruti,2022,"41,490 km",Petrol,Auto,"EMI ₹7,370/m*",₹4.18 lakh
Jeep Compass,Jeep,2018,"48,146 km",Petrol,Manual,"EMI ₹11,868/m*",₹6.72 lakh
Volkswagen TAIGUN,Volkswagen,2021,"69,800 km",Petrol,Manual,"EMI ₹14,016/m*",₹7.94 lakh
Maruti Ertiga,Maruti,2016,"95,635 km",Petrol,Auto,"EMI ₹10,744/m*",₹4.83 lakh
Maruti Ciaz,Maruti,2014,"71,574 km",Diesel,Manual,"EMI ₹17,747/m*",₹3.77 lakh
Hyundai i10,Hyundai,2012,"62,494 km",Petrol,Manual,"EMI ₹14,038/m*",₹1.58 lakh
MG HECTOR,MG,2019,"48,955 km",Petrol,Auto,"EMI ₹14,468/m*",₹8.45 lakh
Hyundai NEW SANTRO,Hyundai,2021,"29,501 km",Petrol,Auto,"EMI ₹6,557/m*",₹3.71 lakh
