Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai Xcent,Hyundai,2014,"88,745 km",Petrol,Manual,"EMI ₹6,643/m*",₹2.00 lakh
Honda Amaze,Honda,2013,"1,10,593 km",Diesel,Manual,"EMI ₹19,458/m*",₹2.19 lakh
Maruti Alto 800,Maruti,2014,"48,063 km",Petrol,Manual,"EMI ₹6,643/m*",₹2.00 lakh
Volkswagen Vento,Volkswagen,2014,"91,873 km",Diesel,Manual,"EMI ₹11,768/m*",₹2.50 lakh
Hyundai i10,Hyundai,2012,"60,688 km",Petrol,Auto,"EMI ₹17,414/m*",₹1.96 lakh
Maruti Wagon R 1.0,Maruti,2014,"2,22,900 km",Petrol,Manual,"EMI ₹9,167/m*",₹2.76 lakh
Hyundai i20,Hyundai,2013,"66,671 km",Petrol,Manual,"EMI ₹10,827/m*",₹2.30 lakh
Maruti Celerio,Maruti,2015,"1,06,643 km",Petrol,Manual,"EMI ₹6,320/m*",₹2.40 lakh
Honda Brio,Honda,2012,"44,647 km",Petrol,Manual,"EMI ₹13,327/m*",₹1.50 lakh
Maruti Swift,Maruti,2016,"48,200 km",Petrol,Manual,"EMI ₹7,252/m*",₹3.26 lakh
Maruti Swift Dzire,Maruti,2014,"1,02,268 km",Diesel,Manual,"EMI ₹17,041/m*",₹3.62 lakh
Maruti Ritz,Maruti,2012,"88,119 km",Diesel,Manual,"EMI ₹17,041/m*",₹1.59 lakh
Renault Scala,Renault,2013,"69,851 km",Diesel,Manual,"EMI ₹17,859/m*",₹2.01 lakh
Tata Zest,Tata,2014,"1,62,583 km",Diesel,Manual,"EMI ₹13,086/m*",₹2.78 lakh
Maruti Swift,Maruti,2022,"2,86,332 km",Petrol,Auto,"EMI ₹10,010/m*",₹4.50 lakh
Maruti Swift,Maruti,2013,"1,22,900 km",Diesel,Manual,"EMI ₹25,944/m*",₹2.92 lakh
Maruti Alto 800,Maruti,2014,"40,600 km",Petrol,Manual,"EMI ₹7,141/m*",₹2.15 lakh
Maruti Ritz,Maruti,2011,"1,79,458 km",Diesel,Manual,"EMI ₹7,141/m*",₹1.35 lakh
Hyundai i20,Hyundai,2012,"1,04,967 km",Diesel,Manual,"EMI ₹7,141/m*",₹2.10 lakh
Nissan MAGNITE,Nissan,2025,"4,578 km",Petrol,Auto,"EMI ₹12,004/m*",₹6.80 lakh
Honda Brio,Honda,2013,"28,192 km",Petrol,Manual,"EMI ₹8,473/m*",₹1.80 lakh
Mahindra Bolero,Mahindra,2018,"1,89,095 km",Diesel,Manual,"EMI ₹4,605/m*",₹2.07 lakh
Hyundai Santro Xing,Hyundai,2011,"90,143 km",Petrol,Manual,"EMI ₹4,605/m*",₹1.15 lakh
Hyundai i20,Hyundai,2012,"53,431 km",Petrol,Manual,"EMI ₹19,191/m*",₹2.16 lakh
Nissan MAGNITE,Nissan,2023,"39,582 km",Petrol,Manual,"EMI ₹9,038/m*",₹5.12 lakh
Skoda Superb,Skoda,2011,"95,088 km",Petrol,Auto,"EMI ₹9,038/m*",₹2.22 lakh
Maruti Swift Dzire,Maruti,2016,"1,72,465 km",Diesel,Manual,"EMI ₹7,505/m*",₹2.85 lakh
Hyundai Eon,Hyundai,2012,"38,389 km",Petrol,Manual,"EMI ₹13,061/m*",₹1.47 lakh
Chevrolet Beat,Chevrolet,2012,"1,25,000 km",Diesel,Manual,"EMI ₹13,061/m*",₹0.94 lakh
Tata Tiago,Tata,2018,"1,16,430 km",Petrol,Manual,"EMI ₹6,735/m*",₹3.03 lakh
Maruti S PRESSO,Maruti,2020,"46,656 km",Petrol,Manual,"EMI ₹5,719/m*",₹3.24 lakh
Maruti Baleno,Maruti,2016,"53,995 km",Petrol,Manual,"EMI ₹7,941/m*",₹3.57 lakh
Hyundai Elite i20,Hyundai,2015,"67,297 km",Diesel,Manual,"EMI ₹13,186/m*",₹3.97 lakh
Tata Nano,Tata,2015,"52,858 km",Petrol,Manual,"EMI ₹2,238/m*",₹0.85 lakh
Fiat Linea,Fiat,2014,"54,827 km",Petrol,Manual,"EMI ₹4,584/m*",₹1.38 lakh
Maruti Swift,Maruti,2013,"67,337 km",Petrol,Manual,"EMI ₹12,569/m*",₹2.67 lakh
Volkswagen Polo,Volkswagen,2011,"43,938 km",Petrol,Manual,"EMI ₹12,569/m*",₹1.40 lakh
KIA CARENS,KIA,2024,"17,811 km",Petrol,Manual,"EMI ₹20,239/m*",₹11.82 lakh
Maruti Baleno,Maruti,2018,"93,845 km",Petrol,Manual,"EMI ₹6,973/m*",₹3.95 lakh
Maruti Alto 800,Maruti,2014,"82,322 km",Petrol,Manual,"EMI ₹6,776/m*",₹2.04 lakh
Chevrolet Sail,Chevrolet,2014,"1,10,174 km",Petrol,Manual,"EMI ₹4,351/m*",₹1.31 lakh
Volkswagen Vento,Volkswagen,2012,"76,921 km",Petrol,Manual,"EMI ₹15,460/m*",₹1.74 lakh
Datsun Go,Datsun,2018,"20,132 km",Petrol,Manual,"EMI ₹3,177/m*",₹1.80 lakh
Hyundai Elite i20,Hyundai,2014,"1,46,761 km",Diesel,Manual,"EMI ₹15,534/m*",₹3.30 lakh
Maruti Dzire,Maruti,2022,"23,647 km",Petrol,Manual,"EMI ₹12,886/m*",₹7.30 lakh
Maruti Celerio,Maruti,2019,"1,58,894 km",Petrol,Manual,"EMI ₹7,118/m*",₹3.20 lakh
Ford Fiesta,Ford,2012,"91,828 km",Diesel,Manual,"EMI ₹7,118/m*",₹1.01 lakh
