Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai Creta,Hyundai,2016,"1,01,744 km",Petrol,Auto,"EMI ₹10,807/m*",₹4.86 lakh
Honda City,Honda,2016,"66,622 km",Petrol,Manual,"EMI ₹9,907/m*",₹4.45 lakh
Tata Safari,Tata,2022,"28,697 km",Diesel,Manual,"EMI ₹18,190/m*",₹10.62 lakh
Toyota YARIS,Toyota,2018,"66,129 km",Petrol,Auto,"EMI ₹9,800/m*",₹5.55 lakh
Hyundai NEW SANTRO,Hyundai,2019,"55,760 km",Petrol,Manual,"EMI ₹4,493/m*",₹2.55 lakh
Hyundai Elite i20,Hyundai,2018,"69,031 km",Petrol,Manual,"EMI ₹7,726/m*",₹4.38 lakh
Maruti Swift,Maruti,2016,"1,42,033 km",Petrol,Manual,"EMI ₹5,960/m*",₹2.68 lakh
Toyota Corolla Altis,Toyota,2016,"73,979 km",Petrol,Manual,"EMI ₹9,892/m*",₹4.45 lakh
Maruti Ciaz,Maruti,2016,"95,979 km",Petrol,Manual,"EMI ₹7,952/m*",₹3.58 lakh
Tata Tiago,Tata,2021,"54,320 km",Petrol,Manual,"EMI ₹6,716/m*",₹3.80 lakh
Maruti IGNIS,Maruti,2018,"1,33,249 km",Petrol,Manual,"EMI ₹5,657/m*",₹2.54 lakh
Tata ALTROZ,Tata,2023,"62,936 km",CNG,Auto,"EMI ₹10,525/m*",₹5.96 lakh
Maruti New Wagon-R,Maruti,2019,"1,29,340 km",CNG,Manual,"EMI ₹6,847/m*",₹3.08 lakh
Tata ALTROZ,Tata,2020,"32,192 km",Petrol,Manual,"EMI ₹8,191/m*",₹4.64 lakh
Hyundai NEW I20,Hyundai,2023,"11,135 km",Petrol,Auto,"EMI ₹13,530/m*",₹7.66 lakh
Datsun Go,Datsun,2015,"1,22,106 km",Petrol,Manual,"EMI ₹3,081/m*",₹1.17 lakh
Tata Tiago,Tata,2022,"99,275 km",CNG,Manual,"EMI ₹7,368/m*",₹4.17 lakh
Honda City,Honda,2012,"1,15,554 km",Petrol,Manual,"EMI ₹18,214/m*",₹2.05 lakh
Hyundai Elite i20,Hyundai,2016,"35,962 km",Petrol,Manual,"EMI ₹9,333/m*",₹4.20 lakh
KIA CARENS,KIA,2023,"15,169 km",Diesel,Manual,"EMI ₹19,027/m*",₹11.11 lakh
Hyundai Verna,Hyundai,2016,"91,262 km",Diesel,Manual,"EMI ₹10,696/m*",₹4.06 lakh
Hyundai Grand i10,Hyundai,2017,"97,124 km",Petrol,Manual,"EMI ₹6,396/m*",₹3.27 lakh
Maruti Swift Dzire,Maruti,2016,"49,097 km",Petrol,Manual,"EMI ₹7,664/m*",₹3.45 lakh
Maruti Swift,Maruti,2014,"96,432 km",Petrol,Manual,"EMI ₹7,821/m*",₹2.35 lakh
Ford Ecosport,Ford,2016,"1,00,877 km",Petrol,Auto,"EMI ₹7,440/m*",₹3.34 lakh
Tata Zest,Tata,2014,"89,294 km",Petrol,Manual,"EMI ₹6,056/m*",₹1.82 lakh
Maruti Baleno,Maruti,2021,"69,629 km",CNG,Manual,"EMI ₹8,513/m*",₹4.82 lakh
Tata PUNCH,Tata,2024,"30,896 km",CNG,Manual,"EMI ₹12,149/m*",₹6.88 lakh
Skoda KUSHAQ,Skoda,2023,"65,263 km",Petrol,Manual,"EMI ₹12,715/m*",₹7.20 lakh
Toyota Innova,Toyota,2014,"73,319 km",Diesel,Manual,"EMI ₹20,747/m*",₹4.41 lakh
Hyundai Eon,Hyundai,2017,"1,10,624 km",CNG,Manual,"EMI ₹5,129/m*",₹1.95 lakh
Jeep Compass,Jeep,2017,"95,707 km",Petrol,Auto,"EMI ₹12,285/m*",₹6.28 lakh
Renault TRIBER,Renault,2023,"28,302 km",Petrol,Manual,"EMI ₹7,924/m*",₹4.49 lakh
Maruti Alto 800,Maruti,2014,"1,10,309 km",Petrol,Manual,"EMI ₹4,981/m*",₹1.50 lakh
Tata Tiago,Tata,2017,"74,070 km",Petrol,Manual,"EMI ₹5,610/m*",₹2.87 lakh
Hyundai Elite i20,Hyundai,2019,"1,36,954 km",Petrol,Auto,"EMI ₹10,119/m*",₹4.55 lakh
Ford Ecosport,Ford,2020,"83,649 km",Diesel,Manual,"EMI ₹10,882/m*",₹6.16 lakh
Hyundai i10,Hyundai,2012,"71,253 km",Petrol,Manual,"EMI ₹18,320/m*",₹2.06 lakh
Maruti Alto K10,Maruti,2014,"59,340 km",CNG,Manual,"EMI ₹16,038/m*",₹1.81 lakh
Tata NEXON,Tata,2024,"37,551 km",Petrol,Auto,"EMI ₹16,883/m*",₹9.86 lakh
Maruti Alto,Maruti,2020,"40,712 km",Petrol,Manual,"EMI ₹4,170/m*",₹2.36 lakh
Datsun Redi Go,Datsun,2021,"38,994 km",Petrol,Manual,"EMI ₹3,198/m*",₹1.81 lakh
Hyundai Eon,Hyundai,2015,"49,356 km",Petrol,Manual,"EMI ₹4,884/m*",₹1.85 lakh
Hyundai i20,Hyundai,2013,"47,227 km",Petrol,Manual,"EMI ₹13,168/m*",₹2.80 lakh
Renault Kiger,Renault,2021,"46,461 km",Petrol,Manual,"EMI ₹7,916/m*",₹4.48 lakh
Datsun Redi Go,Datsun,2016,"86,474 km",Petrol,Manual,"EMI ₹2,593/m*",₹1.17 lakh
Hyundai Verna,Hyundai,2022,"67,085 km",Petrol,Manual,"EMI ₹15,491/m*",₹9.05 lakh
Honda Brio,Honda,2014,"67,673 km",Petrol,Manual,"EMI ₹6,813/m*",₹2.05 lakh
Honda Brio,Honda,2013,"87,101 km",Petrol,Manual,"EMI ₹9,264/m*",₹1.97 lakh
Hyundai Grand i10,Hyundai,2017,"69,784 km",Petrol,Manual,"EMI ₹6,577/m*",₹3.36 lakh
Hyundai Creta,Hyundai,2017,"72,393 km",Petrol,Manual,"EMI ₹11,242/m*",₹5.75 lakh
Maruti Alto 800,Maruti,2018,"37,240 km",Petrol,Manual,"EMI ₹3,659/m*",₹2.07 lakh
