Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Honda City,Honda,2019,"34,159 km",Petrol,Manual,"EMI ₹9,797/m*",₹5.55 lakh
Honda Amaze,Honda,2014,"63,777 km",CNG,Manual,"EMI ₹23,101/m*",₹2.60 lakh
Maruti Wagon R 1.0,Maruti,2018,"97,429 km",Petrol,Manual,"EMI ₹5,296/m*",₹3.00 lakh
Maruti Vitara Brezza,Maruti,2020,"42,566 km",Diesel,Manual,"EMI ₹12,269/m*",₹6.95 lakh
Honda City,Honda,2022,"19,988 km",Petrol,Manual,"EMI ₹13,504/m*",₹7.65 lakh
Tata Hexa,Tata,2017,"57,257 km",Diesel,Auto,"EMI ₹14,090/m*",₹6.33 lakh
Maruti Celerio,Maruti,2021,"68,756 km",Petrol,Auto,"EMI ₹6,796/m*",₹3.85 lakh
Volkswagen Vento,Volkswagen,2018,"1,31,512 km",Diesel,Auto,"EMI ₹11,016/m*",₹4.95 lakh
MG HECTOR,MG,2019,"56,612 km",Diesel,Manual,"EMI ₹17,122/m*",₹10.00 lakh
Maruti IGNIS,Maruti,2018,"55,687 km",Petrol,Manual,"EMI ₹6,620/m*",₹3.75 lakh
Nissan Kicks,Nissan,2019,"98,840 km",Diesel,Manual,"EMI ₹8,474/m*",₹4.80 lakh
Tata TIAGO NRG,Tata,2022,"32,601 km",CNG,Auto,"EMI ₹10,150/m*",₹5.75 lakh
Honda Amaze,Honda,2018,"66,454 km",Diesel,Auto,"EMI ₹10,362/m*",₹5.30 lakh
Hyundai Eon,Hyundai,2015,"68,938 km",Petrol,Manual,"EMI ₹5,398/m*",₹2.05 lakh
Mahindra BOLERO NEO,Mahindra,2022,"42,523 km",Diesel,Manual,"EMI ₹14,760/m*",₹8.62 lakh
Tata NEXON,Tata,2019,"51,195 km",CNG,Manual,"EMI ₹10,362/m*",₹5.30 lakh
Honda City,Honda,2017,"68,322 km",Petrol,Auto,"EMI ₹10,459/m*",₹5.35 lakh
Maruti Vitara Brezza,Maruti,2022,"56,114 km",Petrol,Manual,"EMI ₹10,945/m*",₹6.20 lakh
Maruti Swift,Maruti,2023,"19,862 km",Petrol,Auto,"EMI ₹10,768/m*",₹6.10 lakh
Skoda SLAVIA,Skoda,2022,"75,166 km",Petrol,Manual,"EMI ₹12,803/m*",₹7.25 lakh
Maruti Alto 800,Maruti,2017,"81,982 km",Petrol,Manual,"EMI ₹4,497/m*",₹2.30 lakh
Ford FREESTYLE,Ford,2018,"1,28,009 km",Petrol,Manual,"EMI ₹6,890/m*",₹3.10 lakh
KIA SONET,KIA,2021,"66,722 km",Petrol,Manual,"EMI ₹11,033/m*",₹6.25 lakh
Honda City,Honda,2019,"54,188 km",Petrol,Auto,"EMI ₹9,744/m*",₹5.52 lakh
Renault Kiger,Renault,2022,"74,623 km",Petrol,Manual,"EMI ₹8,563/m*",₹4.85 lakh
Tata TIGOR,Tata,2018,"79,067 km",Petrol,Manual,"EMI ₹5,583/m*",₹3.16 lakh
Tata ALTROZ,Tata,2023,"37,220 km",Petrol,Manual,"EMI ₹11,807/m*",₹6.69 lakh
KIA SYROS,KIA,2025,"2,598 km",Petrol,Manual,"EMI ₹17,037/m*",₹9.95 lakh
Honda Amaze,Honda,2021,"53,671 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
Maruti Celerio,Maruti,2017,"91,381 km",Petrol,Auto,"EMI ₹6,162/m*",₹3.15 lakh
Hyundai Xcent,Hyundai,2017,"1,01,762 km",Petrol,Manual,"EMI ₹7,341/m*",₹3.30 lakh
Honda Amaze,Honda,2016,"23,030 km",Petrol,Manual,"EMI ₹7,229/m*",₹3.25 lakh
Honda Amaze,Honda,2022,"26,343 km",Petrol,Manual,"EMI ₹9,532/m*",₹5.40 lakh
Hyundai i20,Hyundai,2013,"91,706 km",Petrol,Manual,"EMI ₹12,710/m*",₹2.70 lakh
Maruti Celerio,Maruti,2021,"52,331 km",Petrol,Manual,"EMI ₹6,620/m*",₹3.75 lakh
