Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Wagon R 1.0,Maruti,2013,"34,617 km",Petrol,Manual,"EMI ₹10,101/m*",₹2.15 lakh
Maruti Swift,Maruti,2014,"1,38,009 km",Petrol,Manual,"EMI ₹9,394/m*",₹2.83 lakh
Maruti Alto 800,Maruti,2017,"82,817 km",Petrol,Manual,"EMI ₹3,293/m*",₹1.68 lakh
Maruti Wagon R 1.0,Maruti,2013,"38,044 km",Petrol,Manual,"EMI ₹9,415/m*",₹2.00 lakh
Honda City,Honda,2015,"82,525 km",Petrol,Manual,"EMI ₹8,826/m*",₹3.35 lakh
Renault Duster,Renault,2018,"87,335 km",Diesel,Manual,"EMI ₹7,722/m*",₹3.95 lakh
Hyundai Elite i20,Hyundai,2019,"79,137 km",CNG,Manual,"EMI ₹10,147/m*",₹5.19 lakh
Maruti Alto,Maruti,2020,"49,616 km",Petrol,Manual,"EMI ₹4,739/m*",₹2.68 lakh
Volkswagen Polo,Volkswagen,2016,"1,29,229 km",Petrol,Auto,"EMI ₹8,570/m*",₹3.85 lakh
Hyundai Grand i10,Hyundai,2016,"52,121 km",Petrol,Auto,"EMI ₹7,118/m*",₹3.20 lakh
Hyundai Creta,Hyundai,2020,"87,080 km",Petrol,Manual,"EMI ₹14,383/m*",₹8.40 lakh
Hyundai Grand i10,Hyundai,2018,"96,033 km",Petrol,Manual,"EMI ₹6,116/m*",₹3.46 lakh
Honda Amaze,Honda,2015,"35,930 km",Petrol,Manual,"EMI ₹7,510/m*",₹2.85 lakh
MG HECTOR,MG,2019,"77,872 km",Petrol,Manual,"EMI ₹14,040/m*",₹8.20 lakh
Renault Kwid,Renault,2016,"94,221 km",Petrol,Auto,"EMI ₹4,226/m*",₹1.90 lakh
Maruti New Wagon-R,Maruti,2021,"38,943 km",Petrol,Manual,"EMI ₹7,238/m*",₹4.10 lakh
Hyundai NEW I20 N LINE,Hyundai,2023,"24,915 km",Petrol,Auto,"EMI ₹12,634/m*",₹7.16 lakh
Jeep Compass,Jeep,2017,"91,443 km",Diesel,Manual,"EMI ₹13,569/m*",₹6.10 lakh
Mahindra Thar,Mahindra,2021,"63,814 km",Diesel,Auto,"EMI ₹16,951/m*",₹9.90 lakh
Hyundai Elite i20,Hyundai,2016,"1,32,949 km",Diesel,Manual,"EMI ₹10,528/m*",₹4.00 lakh
Honda Amaze,Honda,2014,"66,772 km",Petrol,Manual,"EMI ₹8,802/m*",₹2.65 lakh
Jeep Compass,Jeep,2019,"67,446 km",Diesel,Manual,"EMI ₹12,588/m*",₹7.13 lakh
Maruti Alto 800,Maruti,2019,"30,088 km",Petrol,Manual,"EMI ₹4,325/m*",₹2.45 lakh
Maruti Alto,Maruti,2019,"57,853 km",Petrol,Manual,"EMI ₹3,967/m*",₹2.25 lakh
Maruti Alto,Maruti,2020,"25,461 km",Petrol,Manual,"EMI ₹4,237/m*",₹2.40 lakh
Tata TIGOR,Tata,2023,"57,521 km",CNG,Manual,"EMI ₹9,688/m*",₹5.49 lakh
Hyundai VENUE,Hyundai,2019,"65,385 km",Petrol,Auto,"EMI ₹11,651/m*",₹6.60 lakh
Hyundai Grand i10,Hyundai,2015,"78,834 km",CNG,Manual,"EMI ₹15,319/m*",₹3.25 lakh
Hyundai NEW I20,Hyundai,2021,"45,985 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
Maruti Alto 800,Maruti,2017,"93,121 km",CNG,Manual,"EMI ₹5,793/m*",₹2.20 lakh
Mahindra XUV300,Mahindra,2021,"75,937 km",Diesel,Manual,"EMI ₹13,328/m*",₹7.55 lakh
Hyundai Elite i20,Hyundai,2019,"1,17,259 km",CNG,Manual,"EMI ₹11,345/m*",₹5.10 lakh
Datsun Redi Go,Datsun,2018,"48,379 km",Petrol,Auto,"EMI ₹2,613/m*",₹1.48 lakh
Tata NEXON,Tata,2024,"18,392 km",Petrol,Auto,"EMI ₹14,682/m*",₹8.57 lakh
Nissan MAGNITE,Nissan,2023,"39,099 km",Petrol,Auto,"EMI ₹12,004/m*",₹6.80 lakh
KIA SELTOS,KIA,2021,"37,133 km",Petrol,Manual,"EMI ₹16,670/m*",₹9.74 lakh
Hyundai Creta,Hyundai,2019,"76,152 km",Petrol,Auto,"EMI ₹13,681/m*",₹7.75 lakh
Maruti Alto,Maruti,2019,"97,707 km",CNG,Manual,"EMI ₹5,001/m*",₹2.56 lakh
Volkswagen TAIGUN,Volkswagen,2021,"56,630 km",Petrol,Manual,"EMI ₹15,239/m*",₹8.90 lakh
Hyundai i20,Hyundai,2013,"54,961 km",Petrol,Manual,"EMI ₹13,259/m*",₹2.82 lakh
Hyundai Elite i20,Hyundai,2019,"1,11,991 km",CNG,Manual,"EMI ₹11,790/m*",₹5.30 lakh
Tata NEXON,Tata,2021,"50,137 km",Petrol,Auto,"EMI ₹12,883/m*",₹7.30 lakh
Maruti Eeco,Maruti,2016,"66,582 km",CNG,Manual,"EMI ₹10,606/m*",₹3.19 lakh
Hyundai Grand i10,Hyundai,2018,"44,398 km",CNG,Manual,"EMI ₹9,343/m*",₹4.20 lakh
Maruti Eeco,Maruti,2017,"37,708 km",CNG,Manual,"EMI ₹9,612/m*",₹3.65 lakh
Renault Kwid,Renault,2019,"52,407 km",Petrol,Manual,"EMI ₹4,587/m*",₹2.60 lakh
KIA SONET,KIA,2022,"22,105 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
Jeep Compass,Jeep,2018,"40,188 km",Petrol,Auto,"EMI ₹12,180/m*",₹6.90 lakh
Maruti IGNIS,Maruti,2024,"34,895 km",CNG,Manual,"EMI ₹8,473/m*",₹4.80 lakh
Hyundai i20 Active,Hyundai,2017,"21,209 km",Petrol,Manual,"EMI ₹9,775/m*",₹5.00 lakh
Jeep Compass,Jeep,2019,"70,805 km",Petrol,Auto,"EMI ₹15,239/m*",₹8.90 lakh
Honda WR-V,Honda,2017,"1,06,869 km",Diesel,Manual,"EMI ₹10,789/m*",₹4.85 lakh
Maruti Eeco,Maruti,2018,"84,138 km",CNG,Manual,"EMI ₹8,328/m*",₹3.74 lakh
Maruti Alto 800,Maruti,2017,"97,714 km",Petrol,Manual,"EMI ₹4,106/m*",₹2.10 lakh
Maruti Alto 800,Maruti,2018,"36,240 km",Petrol,Manual,"EMI ₹4,237/m*",₹2.40 lakh
Mahindra XUV300,Mahindra,2021,"1,35,953 km",Diesel,Manual,"EMI ₹13,792/m*",₹6.20 lakh
Nissan Micra,Nissan,2020,"79,380 km",Petrol,Auto,"EMI ₹7,941/m*",₹4.50 lakh
Maruti Alto K10,Maruti,2017,"77,470 km",CNG,Manual,"EMI ₹5,603/m*",₹2.13 lakh
Ford Figo Aspire,Ford,2017,"98,654 km",Diesel,Manual,"EMI ₹5,138/m*",₹2.31 lakh
Hyundai Eon,Hyundai,2018,"9,818 km",Petrol,Manual,"EMI ₹3,778/m*",₹2.14 lakh
Renault Kwid,Renault,2016,"52,577 km",Petrol,Manual,"EMI ₹3,039/m*",₹1.37 lakh
Mahindra XUV500,Mahindra,2017,"2,27,185 km",Diesel,Auto,"EMI ₹10,811/m*",₹4.86 lakh
Hyundai AURA,Hyundai,2022,"88,293 km",Petrol,Manual,"EMI ₹10,080/m*",₹5.71 lakh
Maruti Swift,Maruti,2018,"77,520 km",Diesel,Auto,"EMI ₹7,390/m*",₹3.78 lakh
Hyundai Creta,Hyundai,2017,"99,852 km",Diesel,Manual,"EMI ₹12,501/m*",₹5.62 lakh
Tata NEXON,Tata,2022,"22,033 km",Petrol,Manual,"EMI ₹14,468/m*",₹8.45 lakh
Maruti Alto 800,Maruti,2012,"85,216 km",Petrol,Manual,"EMI ₹11,995/m*",₹1.35 lakh
Maruti Alto 800,Maruti,2017,"1,17,920 km",Petrol,Manual,"EMI ₹5,138/m*",₹2.31 lakh
Hyundai Verna,Hyundai,2014,"77,471 km",Petrol,Manual,"EMI ₹9,533/m*",₹2.87 lakh
Maruti Alto 800,Maruti,2014,"1,01,992 km",Petrol,Manual,"EMI ₹5,049/m*",₹1.52 lakh
Renault TRIBER,Renault,2019,"45,650 km",Petrol,Manual,"EMI ₹6,196/m*",₹3.51 lakh
Honda WR-V,Honda,2018,"95,198 km",Diesel,Manual,"EMI ₹6,843/m*",₹3.50 lakh
Maruti Alto 800,Maruti,2015,"25,165 km",Petrol,Manual,"EMI ₹5,530/m*",₹2.10 lakh
Tata Tiago,Tata,2016,"1,00,705 km",Diesel,Manual,"EMI ₹5,161/m*",₹1.96 lakh
Renault Kwid,Renault,2016,"70,485 km",Petrol,Manual,"EMI ₹3,292/m*",₹1.48 lakh
Maruti IGNIS,Maruti,2022,"37,159 km",Petrol,Manual,"EMI ₹7,202/m*",₹4.08 lakh
Hyundai Eon,Hyundai,2014,"40,989 km",Petrol,Manual,"EMI ₹5,580/m*",₹1.68 lakh
Maruti Alto 800,Maruti,2018,"50,031 km",Petrol,Manual,"EMI ₹3,495/m*",₹1.98 lakh
Maruti Swift Dzire,Maruti,2013,"72,109 km",Petrol,Manual,"EMI ₹8,662/m*",₹1.84 lakh
Renault Kwid,Renault,2015,"1,20,871 km",Petrol,Manual,"EMI ₹3,871/m*",₹1.47 lakh
Honda Amaze,Honda,2013,"96,955 km",Petrol,Manual,"EMI ₹10,592/m*",₹2.25 lakh
Maruti Alto 800,Maruti,2017,"1,35,730 km",Petrol,Manual,"EMI ₹4,315/m*",₹1.94 lakh
Ford Ecosport,Ford,2015,"98,852 km",Diesel,Manual,"EMI ₹9,665/m*",₹2.91 lakh
Maruti Swift Dzire,Maruti,2013,"97,882 km",Petrol,Manual,"EMI ₹8,790/m*",₹1.87 lakh
Maruti New Wagon-R,Maruti,2019,"70,515 km",Petrol,Manual,"EMI ₹5,472/m*",₹3.10 lakh
Datsun Redi Go,Datsun,2017,"62,335 km",Petrol,Manual,"EMI ₹2,600/m*",₹1.33 lakh
Renault Kwid,Renault,2018,"26,775 km",Petrol,Manual,"EMI ₹3,425/m*",₹1.94 lakh
Maruti Celerio,Maruti,2014,"1,12,897 km",Petrol,Manual,"EMI ₹6,909/m*",₹2.08 lakh
Hyundai Eon,Hyundai,2016,"77,237 km",Petrol,Manual,"EMI ₹2,825/m*",₹1.27 lakh
Maruti Celerio,Maruti,2014,"89,107 km",Petrol,Manual,"EMI ₹6,709/m*",₹2.02 lakh
Datsun Redi Go,Datsun,2017,"68,610 km",Petrol,Manual,"EMI ₹2,776/m*",₹1.42 lakh
Maruti Wagon R 1.0,Maruti,2015,"94,452 km",Petrol,Manual,"EMI ₹3,950/m*",₹1.50 lakh
Maruti Eeco,Maruti,2020,"27,681 km",Petrol,Manual,"EMI ₹8,156/m*",₹4.62 lakh
Maruti Eeco,Maruti,2020,"67,533 km",Petrol,Manual,"EMI ₹6,108/m*",₹3.46 lakh
Maruti Swift Dzire,Maruti,2013,"1,26,215 km",Diesel,Manual,"EMI ₹22,212/m*",₹2.50 lakh
Hyundai i10,Hyundai,2013,"83,900 km",Petrol,Manual,"EMI ₹8,285/m*",₹1.76 lakh
Mahindra KUV 100 NXT,Mahindra,2018,"26,030 km",Petrol,Manual,"EMI ₹4,060/m*",₹2.30 lakh
Maruti Eeco,Maruti,2020,"49,217 km",Petrol,Manual,"EMI ₹6,743/m*",₹3.82 lakh
Hyundai Eon,Hyundai,2015,"56,686 km",Petrol,Manual,"EMI ₹3,897/m*",₹1.48 lakh
Fiat Punto EVO,Fiat,2014,"61,907 km",Petrol,Manual,"EMI ₹2,890/m*",₹0.87 lakh
Hyundai Verna,Hyundai,2012,"1,04,002 km",Diesel,Auto,"EMI ₹2,890/m*",₹1.49 lakh
Ford Figo Aspire,Ford,2017,"85,826 km",Petrol,Manual,"EMI ₹5,122/m*",₹2.62 lakh
Mahindra Kuv100,Mahindra,2017,"7,491 km",Diesel,Manual,"EMI ₹4,961/m*",₹2.23 lakh
Hyundai i20,Hyundai,2012,"1,87,648 km",Diesel,Manual,"EMI ₹4,961/m*",₹1.56 lakh
Maruti Ertiga,Maruti,2015,"80,650 km",Diesel,Manual,"EMI ₹12,190/m*",₹3.67 lakh
Renault Kwid,Renault,2017,"71,718 km",Petrol,Manual,"EMI ₹2,717/m*",₹1.39 lakh
Maruti Wagon R 1.0,Maruti,2013,"64,760 km",Petrol,Manual,"EMI ₹8,050/m*",₹1.71 lakh
Hyundai i10,Hyundai,2012,"1,06,393 km",Petrol,Auto,"EMI ₹16,082/m*",₹1.81 lakh
Volkswagen Vento,Volkswagen,2013,"1,80,516 km",Diesel,Manual,"EMI ₹15,460/m*",₹1.74 lakh
Hyundai i20,Hyundai,2012,"1,47,710 km",Diesel,Manual,"EMI ₹15,460/m*",₹1.55 lakh
Volkswagen Vento,Volkswagen,2018,"1,11,005 km",Petrol,Auto,"EMI ₹7,786/m*",₹3.50 lakh
Maruti Swift Dzire,Maruti,2013,"2,17,188 km",Diesel,Manual,"EMI ₹27,010/m*",₹3.04 lakh
Volkswagen Vento,Volkswagen,2012,"1,14,830 km",Diesel,Manual,"EMI ₹27,010/m*",₹1.39 lakh
Honda City,Honda,2014,"1,01,983 km",Petrol,Manual,"EMI ₹7,374/m*",₹2.22 lakh
Tata TIGOR,Tata,2019,"47,615 km",Petrol,Manual,"EMI ₹5,896/m*",₹3.34 lakh
Maruti Dzire,Maruti,2022,"44,267 km",Petrol,Manual,"EMI ₹10,133/m*",₹5.74 lakh
Nissan Micra,Nissan,2014,"75,157 km",Diesel,Manual,"EMI ₹7,579/m*",₹1.61 lakh
Mahindra Kuv100,Mahindra,2017,"87,283 km",Diesel,Manual,"EMI ₹4,093/m*",₹1.84 lakh
Hyundai i20,Hyundai,2013,"30,611 km",Petrol,Manual,"EMI ₹9,980/m*",₹2.12 lakh
Honda Amaze,Honda,2015,"1,05,258 km",Petrol,Manual,"EMI ₹7,110/m*",₹2.70 lakh
BMW 3 Series,BMW,2012,"1,47,305 km",Diesel,Auto,"EMI ₹7,110/m*",₹7.14 lakh
Toyota Innova,Toyota,2010,"1,68,954 km",Diesel,Manual,"EMI ₹7,110/m*",₹2.22 lakh
Volkswagen Vento,Volkswagen,2012,"1,00,339 km",Diesel,Manual,"EMI ₹7,110/m*",₹1.51 lakh
Maruti Ciaz,Maruti,2018,"80,767 km",Diesel,Manual,"EMI ₹6,843/m*",₹3.50 lakh
Maruti Swift,Maruti,2018,"84,154 km",Petrol,Manual,"EMI ₹7,449/m*",₹4.22 lakh
Maruti Swift Dzire,Maruti,2014,"1,22,854 km",Petrol,Manual,"EMI ₹8,304/m*",₹2.50 lakh
Volkswagen Vento,Volkswagen,2016,"1,02,959 km",Diesel,Auto,"EMI ₹8,611/m*",₹3.27 lakh
Mahindra TUV300,Mahindra,2016,"93,379 km",Diesel,Manual,"EMI ₹8,875/m*",₹3.37 lakh
