Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Ford New Figo,Ford,2021,"39,681 km",Petrol,Auto,"EMI ₹10,889/m*",₹6.17 lakh
Maruti Swift,Maruti,2020,"1,21,832 km",Petrol,Manual,"EMI ₹8,585/m*",₹3.86 lakh
KIA SONET,KIA,2020,"71,317 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
Volkswagen Ameo,Volkswagen,2016,"1,01,543 km",Diesel,Auto,"EMI ₹8,558/m*",₹3.25 lakh
Ford Figo Aspire,Ford,2016,"97,033 km",Petrol,Manual,"EMI ₹7,125/m*",₹3.20 lakh
Maruti Alto,Maruti,2020,"26,206 km",Petrol,Manual,"EMI ₹4,060/m*",₹2.30 lakh
Tata NEXON,Tata,2018,"77,098 km",Petrol,Manual,"EMI ₹8,209/m*",₹4.65 lakh
Nissan MAGNITE,Nissan,2021,"88,008 km",Petrol,Manual,"EMI ₹8,756/m*",₹4.96 lakh
Ford Figo Aspire,Ford,2016,"92,931 km",Petrol,Manual,"EMI ₹7,125/m*",₹3.20 lakh
Tata Tiago,Tata,2020,"1,39,031 km",Petrol,Manual,"EMI ₹7,046/m*",₹3.17 lakh
MG HECTOR PLUS,MG,2021,"84,771 km",Diesel,Manual,"EMI ₹20,718/m*",₹12.10 lakh
Renault Kwid,Renault,2020,"52,389 km",Petrol,Manual,"EMI ₹5,049/m*",₹2.86 lakh
Tata ALTROZ,Tata,2021,"55,699 km",Petrol,Manual,"EMI ₹7,396/m*",₹4.19 lakh
Volkswagen Polo,Volkswagen,2019,"84,513 km",Petrol,Manual,"EMI ₹7,422/m*",₹4.20 lakh
Mahindra XUV500,Mahindra,2018,"1,18,011 km",Diesel,Manual,"EMI ₹17,128/m*",₹7.70 lakh
Maruti S PRESSO,Maruti,2021,"1,17,149 km",Petrol,Auto,"EMI ₹5,917/m*",₹2.66 lakh
Renault Kwid,Renault,2016,"62,592 km",Petrol,Manual,"EMI ₹4,671/m*",₹2.10 lakh
Datsun Go Plus,Datsun,2017,"65,431 km",Petrol,Manual,"EMI ₹4,985/m*",₹2.55 lakh
Tata NEXON,Tata,2020,"81,618 km",Petrol,Manual,"EMI ₹9,619/m*",₹5.45 lakh
Hyundai Elite i20,Hyundai,2017,"92,556 km",Petrol,Manual,"EMI ₹7,155/m*",₹3.66 lakh
Tata Tiago,Tata,2016,"98,516 km",Diesel,Manual,"EMI ₹7,130/m*",₹2.71 lakh
Maruti Dzire,Maruti,2020,"77,670 km",Petrol,Auto,"EMI ₹8,261/m*",₹4.68 lakh
Maruti Alto 800,Maruti,2018,"80,469 km",Petrol,Manual,"EMI ₹3,336/m*",₹1.89 lakh
Mahindra MARAZZO,Mahindra,2018,"1,09,573 km",Diesel,Manual,"EMI ₹11,456/m*",₹5.15 lakh
Volkswagen Polo,Volkswagen,2020,"35,505 km",Petrol,Auto,"EMI ₹11,986/m*",₹6.79 lakh
Tata PUNCH,Tata,2023,"15,878 km",Petrol,Auto,"EMI ₹10,239/m*",₹5.80 lakh
Ford Ecosport,Ford,2018,"1,09,040 km",Diesel,Manual,"EMI ₹10,544/m*",₹4.74 lakh
Ford Figo Aspire,Ford,2019,"63,356 km",Petrol,Manual,"EMI ₹6,390/m*",₹3.62 lakh
Maruti Celerio,Maruti,2018,"1,45,737 km",CNG,Manual,"EMI ₹6,362/m*",₹2.86 lakh
Hyundai Elite i20,Hyundai,2017,"68,595 km",Diesel,Manual,"EMI ₹10,681/m*",₹4.80 lakh
Hyundai Grand i10,Hyundai,2015,"42,737 km",Petrol,Auto,"EMI ₹9,454/m*",₹3.59 lakh
Maruti Swift Dzire,Maruti,2013,"15,195 km",Diesel,Manual,"EMI ₹32,252/m*",₹3.63 lakh
Datsun Redi Go,Datsun,2017,"50,126 km",Petrol,Manual,"EMI ₹3,421/m*",₹1.75 lakh
Mahindra XUV700,Mahindra,2022,"49,147 km",Diesel,Manual,"EMI ₹25,341/m*",₹14.80 lakh
Mahindra XUV300,Mahindra,2019,"77,714 km",Petrol,Manual,"EMI ₹10,751/m*",₹6.09 lakh
Hyundai Grand i10,Hyundai,2015,"1,18,778 km",Petrol,Manual,"EMI ₹8,477/m*",₹3.22 lakh
Maruti Wagon R 1.0,Maruti,2015,"78,860 km",Petrol,Manual,"EMI ₹5,925/m*",₹2.25 lakh
Renault TRIBER,Renault,2023,"22,597 km",Petrol,Manual,"EMI ₹9,444/m*",₹5.35 lakh
KIA SELTOS,KIA,2020,"92,058 km",Petrol,Manual,"EMI ₹13,063/m*",₹7.40 lakh
Honda Amaze,Honda,2015,"81,143 km",Petrol,Manual,"EMI ₹7,479/m*",₹2.84 lakh
Maruti Vitara Brezza,Maruti,2018,"52,670 km",Diesel,Auto,"EMI ₹12,708/m*",₹6.50 lakh
Skoda Rapid,Skoda,2019,"28,310 km",Petrol,Manual,"EMI ₹10,536/m*",₹5.97 lakh
Maruti Baleno,Maruti,2020,"85,909 km",Petrol,Auto,"EMI ₹8,456/m*",₹4.79 lakh
Hyundai Elite i20,Hyundai,2015,"92,659 km",Diesel,Manual,"EMI ₹13,286/m*",₹4.00 lakh
Maruti Alto 800,Maruti,2017,"39,580 km",Petrol,Manual,"EMI ₹3,128/m*",₹1.60 lakh
Toyota Etios,Toyota,2014,"80,834 km",Diesel,Manual,"EMI ₹17,221/m*",₹3.66 lakh
Maruti Alto K10,Maruti,2012,"48,478 km",Petrol,Manual,"EMI ₹12,972/m*",₹1.46 lakh
Maruti XL6,Maruti,2020,"76,493 km",Petrol,Manual,"EMI ₹13,240/m*",₹7.50 lakh
KIA SELTOS,KIA,2022,"55,677 km",Diesel,Manual,"EMI ₹14,640/m*",₹8.55 lakh
Maruti Alto 800,Maruti,2015,"72,436 km",Petrol,Manual,"EMI ₹4,872/m*",₹1.85 lakh
Maruti Swift Dzire,Maruti,2016,"1,09,134 km",Petrol,Manual,"EMI ₹8,119/m*",₹3.65 lakh
Ford Ecosport,Ford,2016,"1,14,002 km",Diesel,Manual,"EMI ₹9,928/m*",₹3.77 lakh
Maruti Wagon R 1.0,Maruti,2014,"93,275 km",Petrol,Manual,"EMI ₹5,945/m*",₹1.79 lakh
Hyundai NEW I20,Hyundai,2023,"33,459 km",Petrol,Auto,"EMI ₹12,286/m*",₹6.96 lakh
Maruti Wagon R 1.0,Maruti,2013,"58,604 km",Petrol,Manual,"EMI ₹8,567/m*",₹1.82 lakh
Hyundai VENUE,Hyundai,2019,"38,173 km",CNG,Manual,"EMI ₹11,869/m*",₹6.07 lakh
Maruti Swift,Maruti,2019,"72,472 km",Petrol,Auto,"EMI ₹8,120/m*",₹4.60 lakh
Honda City,Honda,2017,"31,952 km",Petrol,Manual,"EMI ₹11,535/m*",₹5.90 lakh
Tata Zest,Tata,2014,"77,853 km",Petrol,Manual,"EMI ₹8,104/m*",₹2.44 lakh
Honda Amaze,Honda,2020,"1,15,246 km",Diesel,Manual,"EMI ₹11,323/m*",₹5.09 lakh
Maruti Swift,Maruti,2019,"61,441 km",Diesel,Auto,"EMI ₹10,433/m*",₹5.91 lakh
Maruti Alto 800,Maruti,2016,"78,236 km",Petrol,Manual,"EMI ₹4,338/m*",₹1.95 lakh
Nissan MAGNITE,Nissan,2023,"66,088 km",Petrol,Manual,"EMI ₹10,150/m*",₹5.75 lakh
Ford Figo Aspire,Ford,2020,"49,821 km",Diesel,Manual,"EMI ₹8,297/m*",₹4.70 lakh
Maruti Alto 800,Maruti,2015,"1,05,458 km",Petrol,Manual,"EMI ₹3,871/m*",₹1.47 lakh
Nissan Terrano,Nissan,2014,"88,332 km",Diesel,Manual,"EMI ₹17,547/m*",₹3.73 lakh
Nissan Micra,Nissan,2017,"95,362 km",Petrol,Auto,"EMI ₹5,494/m*",₹2.81 lakh
Honda Amaze,Honda,2018,"65,631 km",Diesel,Auto,"EMI ₹10,732/m*",₹5.49 lakh
Tata NEXON,Tata,2018,"78,154 km",Diesel,Manual,"EMI ₹11,179/m*",₹5.72 lakh
