Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Honda Jazz,Honda,2015,92650,Petrol,Auto,8796,334000,11,Chennai
Hyundai Verna,Hyundai,2018,74022,Petrol,Auto,9956,564000,8,Chennai
Ford Ecosport,Ford,2020,59560,Petrol,Manual,10468,593000,6,Chennai
Maruti Swift,Maruti,2017,57423,Petrol,Manual,8837,451999,9,Chennai
Hyundai Grand i10,Hyundai,2018,115563,Petrol,Manual,7185,323000,8,Chennai
Maruti Baleno,Maruti,2020,59901,Petrol,Manual,10215,579000,6,Chennai
Maruti Alto K10,Maruti,2016,56381,Petrol,Auto,5223,235000,10,Chennai
Tata NEXON,Tata,2023,36316,Petrol,Auto,11774,667000,3,Chennai
Renault Duster,Renault,2017,42528,Petrol,Manual,10283,526000,9,Chennai
Tata Tiago,Tata,2018,103888,Petrol,Manual,6696,301000,8,Chennai
Hyundai i20 Active,Hyundai,2017,77809,Petrol,Manual,9424,482000,9,Chennai
Maruti Celerio,Maruti,2015,91909,Petrol,Auto,8315,316000,11,Chennai
Maruti Celerio,Maruti,2015,55765,Petrol,Auto,7720,293000,11,Chennai
Maruti Baleno,Maruti,2018,84237,Petrol,Manual,8809,499000,8,Chennai
Honda Jazz,Honda,2018,55314,Petrol,Manual,7803,442000,8,Chennai
Tata Tiago,Tata,2018,43222,Petrol,Manual,6524,370000,8,Chennai
Nissan MAGNITE,Nissan,2021,27728,Petrol,Auto,11333,642000,5,Chennai
Ford Ecosport,Ford,2017,39957,Diesel,Manual,12012,540000,9,Chennai
Hyundai NEW SANTRO,Hyundai,2020,48012,Petrol,Manual,6443,365000,6,Chennai
Skoda Rapid,Skoda,2018,75807,Diesel,Manual,11670,597000,8,Chennai
Tata Tiago,Tata,2018,128118,Petrol,Manual,6288,283000,8,Chennai
Hyundai Eon,Hyundai,2018,23509,Petrol,Manual,5190,294000,8,Chennai
Hyundai VENUE,Hyundai,2021,19027,Petrol,Manual,11933,676000,5,Chennai
Volkswagen Ameo,Volkswagen,2016,24916,Petrol,Manual,10446,470000,10,Chennai
Maruti Baleno,Maruti,2021,27795,Petrol,Manual,10571,599000,5,Chennai
Maruti S PRESSO,Maruti,2020,40065,Petrol,Manual,5896,334000,6,Chennai
Maruti Baleno,Maruti,2022,39528,Petrol,Auto,12886,730000,4,Chennai
Tata Tiago,Tata,2018,62913,Petrol,Auto,6849,388000,8,Chennai
Maruti S PRESSO,Maruti,2021,36176,Petrol,Auto,6655,377000,5,Chennai
Tata Tiago,Tata,2018,66197,Petrol,Manual,6073,344000,8,Chennai
Maruti New Wagon-R,Maruti,2020,45744,Petrol,Manual,8245,467000,6,Chennai
Ford Ecosport,Ford,2020,48073,Petrol,Auto,11739,665000,6,Chennai
Maruti FRONX,Maruti,2024,24849,Petrol,Manual,14105,799000,2,Chennai
Honda Amaze,Honda,2023,40416,Petrol,Manual,11192,634000,3,Chennai
Skoda Rapid,Skoda,2020,93148,Petrol,Auto,9250,524000,6,Chennai
Hyundai VENUE,Hyundai,2021,57326,Petrol,Manual,11781,667000,5,Chennai
MG HECTOR,MG,2020,78178,Petrol,Auto,18503,1081000,6,Chennai
Hyundai Grand i10,Hyundai,2015,95057,Petrol,Manual,7637,290000,11,Chennai
Renault Kwid,Renault,2019,29568,Petrol,Auto,5119,290000,7,Chennai
Honda City,Honda,2014,59486,Petrol,Auto,14907,449000,12,Chennai
Maruti Alto 800,Maruti,2014,37894,Petrol,Manual,6743,202999,12,Chennai
Tata Tiago,Tata,2018,39282,Petrol,Auto,6973,395000,8,Chennai
Honda Amaze,Honda,2018,65604,Diesel,Manual,9931,508000,8,Chennai
Tata ALTROZ,Tata,2023,19122,Petrol,Auto,11474,650000,3,Chennai
Volkswagen Polo,Volkswagen,2013,79582,Petrol,Manual,13181,280000,13,Chennai
Volkswagen Polo,Volkswagen,2020,118306,Petrol,Auto,12949,582000,6,Chennai
Tata ALTROZ,Tata,2022,31146,Petrol,Manual,10062,570000,4,Chennai
Skoda Rapid,Skoda,2017,126243,Petrol,Manual,8898,400000,9,Chennai
Maruti Alto 800,Maruti,2014,43217,Petrol,Manual,6809,204999,12,Chennai
Volkswagen Vento,Volkswagen,2015,104054,Diesel,Manual,12455,375000,11,Chennai
Tata TIGOR,Tata,2022,12133,CNG,Manual,10856,615000,4,Chennai
Honda City,Honda,2017,36457,Petrol,Manual,12564,643000,9,Chennai
Tata NEXON,Tata,2020,94220,Diesel,Manual,10415,590000,6,Chennai
Hyundai GRAND I10 NIOS,Hyundai,2022,32832,Petrol,Manual,9074,513999,4,Chennai
Maruti Celerio,Maruti,2017,102937,Petrol,Manual,6317,284000,9,Chennai
Hyundai NEW SANTRO,Hyundai,2018,44753,Petrol,Manual,6020,341000,8,Chennai
Maruti Swift Dzire,Maruti,2016,37575,Petrol,Manual,10647,479000,10,Chennai
Tata PUNCH,Tata,2024,27354,Petrol,Manual,12888,730000,2,Chennai
Maruti Alto K10,Maruti,2025,7833,Petrol,Auto,9016,511000,1,Chennai
Maruti S Cross,Maruti,2021,90927,Petrol,Manual,10909,618000,5,Chennai
Hyundai Elite i20,Hyundai,2019,33108,Petrol,Auto,11249,637000,7,Chennai
Maruti Baleno,Maruti,2021,37741,Petrol,Manual,11474,650000,5,Chennai
Hyundai i10,Hyundai,2013,32147,Petrol,Manual,12616,268000,13,Chennai
Honda City,Honda,2014,46662,Petrol,Auto,13751,413999,12,Chennai
Skoda SLAVIA,Skoda,2023,52161,Petrol,Manual,21886,1278000,3,Chennai
Maruti Wagon R 1.0,Maruti,2017,35930,Petrol,Manual,6745,345000,9,Chennai
Maruti Celerio,Maruti,2015,103178,Petrol,Manual,7215,274000,11,Chennai
KIA SONET,KIA,2020,74360,Petrol,Manual,11121,630000,6,Chennai
Honda City,Honda,2015,104537,Petrol,Manual,11771,447000,11,Chennai
Hyundai NEW SANTRO,Hyundai,2019,55958,Petrol,Auto,6262,355000,7,Chennai
Hyundai Grand i10,Hyundai,2017,80082,Petrol,Auto,6569,336000,9,Chennai
Hyundai NEW SANTRO,Hyundai,2019,25626,Petrol,Manual,7324,415000,7,Chennai
Hyundai i10,Hyundai,2016,63253,Petrol,Manual,6184,278000,10,Chennai
Hyundai NEW SANTRO,Hyundai,2019,37027,Petrol,Auto,6832,387000,7,Chennai
Maruti Celerio,Maruti,2016,88368,Petrol,Auto,6295,283000,10,Chennai
Tata NEXON,Tata,2022,17364,Petrol,Auto,12975,735000,4,Chennai
Maruti Swift,Maruti,2016,57190,Petrol,Manual,8942,401999,10,Chennai
Tata NEXON,Tata,2018,41732,Petrol,Manual,10380,588000,8,Chennai
Tata NEXON,Tata,2021,48804,Petrol,Manual,10680,605000,5,Chennai
Hyundai Elite i20,Hyundai,2018,45795,Petrol,Auto,8438,478000,8,Chennai
Ford Ecosport,Ford,2021,21168,Petrol,Manual,13063,740000,5,Chennai
Hyundai Creta,Hyundai,2018,110316,Petrol,Manual,13502,607000,8,Chennai
Maruti Alto 800,Maruti,2016,92232,Petrol,Manual,5116,229999,10,Chennai
Maruti Baleno,Maruti,2016,104538,Petrol,Manual,9535,429000,10,Chennai
Maruti Alto K10,Maruti,2015,72522,Petrol,Manual,6267,238000,11,Chennai
Hyundai VENUE,Hyundai,2021,105889,Diesel,Manual,15438,694000,5,Chennai
Ford Ecosport,Ford,2017,38082,Petrol,Manual,8743,447000,9,Chennai
Honda Amaze,Honda,2019,69546,Petrol,Auto,9541,540000,7,Chennai
Honda Jazz,Honda,2016,48081,Petrol,Auto,9559,430000,10,Chennai
Maruti Dzire,Maruti,2022,49916,Petrol,Auto,11071,627000,4,Chennai
Hyundai NEW SANTRO,Hyundai,2021,75804,Petrol,Auto,7869,446000,5,Chennai
Skoda SLAVIA,Skoda,2022,20638,Petrol,Auto,19759,1154000,4,Chennai
Tata PUNCH,Tata,2024,39304,CNG,Manual,13416,760000,2,Chennai
Hyundai Creta,Hyundai,2021,99395,Diesel,Manual,15534,907000,5,Chennai
Hyundai Elite i20,Hyundai,2018,63188,Petrol,Auto,10609,601000,8,Chennai
Honda Amaze,Honda,2015,82922,Petrol,Manual,9087,345000,11,Chennai
Maruti Dzire,Maruti,2018,54399,Petrol,Auto,9797,555000,8,Chennai
Mahindra XUV500,Mahindra,2018,100421,Diesel,Auto,23569,1084000,8,Chennai
Maruti Dzire,Maruti,2017,57776,Petrol,Auto,9716,497000,9,Chennai
KIA SONET,KIA,2024,33565,Petrol,Manual,16352,955000,2,Chennai
Hyundai VENUE,Hyundai,2023,75498,Petrol,Manual,13297,753000,3,Chennai
Honda Amaze,Honda,2016,86111,Petrol,Auto,9034,405999,10,Chennai
Hyundai Grand i10,Hyundai,2017,79381,Petrol,Manual,6946,355000,9,Chennai
Hyundai Grand i10,Hyundai,2016,144697,Petrol,Auto,7341,330000,10,Chennai
Honda Amaze,Honda,2015,67991,Petrol,Manual,9264,352000,11,Chennai
Hyundai VENUE,Hyundai,2019,71061,Petrol,Auto,11104,629000,7,Chennai
Maruti Baleno,Maruti,2017,85800,Petrol,Auto,9873,505000,9,Chennai
Honda Jazz,Honda,2016,63777,Petrol,Auto,9209,413999,10,Chennai
Maruti Celerio,Maruti,2017,49319,Petrol,Auto,7686,393000,9,Chennai
Nissan MAGNITE,Nissan,2022,41962,Petrol,Auto,11298,640000,4,Chennai
Hyundai Grand i10,Hyundai,2019,27503,Petrol,Manual,8175,463000,7,Chennai
Hyundai Grand i10,Hyundai,2016,70797,Petrol,Manual,7674,345000,10,Chennai
Volkswagen Ameo,Volkswagen,2019,111009,Diesel,Auto,10433,469000,7,Chennai
Hyundai GRAND I10 NIOS,Hyundai,2021,30009,Diesel,Manual,10115,573000,5,Chennai
Maruti IGNIS,Maruti,2021,112107,Petrol,Manual,9231,415000,5,Chennai
Hyundai Grand i10,Hyundai,2016,87759,Petrol,Auto,7852,353000,10,Chennai
Tata NEXON,Tata,2021,92325,Diesel,Manual,11139,631000,5,Chennai
Maruti Wagon R 1.0,Maruti,2014,88365,Petrol,Manual,9862,297000,12,Chennai
Hyundai Elite i20,Hyundai,2016,115037,Petrol,Manual,9305,418000,10,Chennai
Ford Ecosport,Ford,2014,117219,Diesel,Manual,16099,342000,12,Chennai
Tata ALTROZ,Tata,2021,61416,Petrol,Manual,10239,580000,5,Chennai
Mahindra XUV300,Mahindra,2024,17821,Petrol,Auto,15902,928999,2,Chennai
Honda Jazz,Honda,2017,57503,Petrol,Auto,8993,459999,9,Chennai
Hyundai NEW SANTRO,Hyundai,2021,71159,Petrol,Auto,7679,434999,5,Chennai
Ford Ecosport,Ford,2018,101670,Petrol,Auto,11701,526000,8,Chennai
Hyundai Elite i20,Hyundai,2015,52439,Petrol,Manual,12416,471000,11,Chennai
Hyundai Creta,Hyundai,2019,35320,Petrol,Manual,14862,868000,7,Chennai
Honda Jazz,Honda,2016,42478,Petrol,Auto,9788,440000,10,Chennai
Tata NEXON,Tata,2019,143731,Diesel,Auto,11678,525000,7,Chennai
Hyundai Grand i10,Hyundai,2016,62887,Petrol,Auto,8186,368000,10,Chennai
Hyundai NEW SANTRO,Hyundai,2019,71718,Petrol,Auto,7043,399000,7,Chennai
Hyundai Creta,Hyundai,2018,83121,Petrol,Auto,12484,707000,8,Chennai
Hyundai VENUE,Hyundai,2021,49149,Petrol,Manual,13257,751000,5,Chennai
Honda Amaze,Honda,2019,70075,Diesel,Manual,9938,563000,7,Chennai
Hyundai Grand i10,Hyundai,2019,43697,Petrol,Manual,7830,444000,7,Chennai
Honda Amaze,Honda,2017,69570,Petrol,Auto,8016,409999,9,Chennai
Tata Safari,Tata,2022,46235,Diesel,Manual,28121,1642000,4,Chennai
Maruti Swift,Maruti,2015,31878,Diesel,Manual,17332,522000,11,Chennai
Renault TRIBER,Renault,2023,63792,Petrol,Auto,10563,598000,3,Chennai
Maruti Celerio,Maruti,2020,19587,Petrol,Manual,8010,454000,6,Chennai
Maruti Celerio,Maruti,2015,38237,Petrol,Auto,8702,330000,11,Chennai
KIA SONET,KIA,2021,55683,Petrol,Manual,13121,743000,5,Chennai
Maruti Swift,Maruti,2013,71908,Petrol,Manual,17499,372000,13,Chennai
Hyundai NEW I20 N LINE,Hyundai,2022,38034,Petrol,Auto,13924,813000,4,Chennai
Hyundai i10,Hyundai,2013,88677,Petrol,Manual,13369,284000,13,Chennai
Maruti Wagon R 1.0,Maruti,2013,45944,Petrol,Manual,13228,281000,13,Chennai
Hyundai Verna,Hyundai,2014,119181,Petrol,Manual,10961,330000,12,Chennai
Maruti Swift,Maruti,2012,239723,Diesel,Manual,10961,330000,14,Chennai
Volkswagen Polo,Volkswagen,2014,92343,Petrol,Manual,14349,432000,12,Chennai
Maruti Wagon R 1.0,Maruti,2017,100375,Petrol,Manual,8230,370000,9,Chennai
Hyundai i20,Hyundai,2012,100120,Petrol,Manual,23900,269000,14,Chennai
Maruti Alto K10,Maruti,2023,7350,Petrol,Manual,7679,434999,3,Chennai
Tata Tiago,Tata,2018,40063,Petrol,Manual,7308,413999,8,Chennai
Renault Duster,Renault,2014,68811,Diesel,Manual,18594,395000,12,Chennai
Hyundai Grand i10,Hyundai,2014,105980,Diesel,Manual,12427,264000,12,Chennai
Ford Ecosport,Ford,2013,89716,Diesel,Manual,32163,362000,13,Chennai
Maruti Ertiga,Maruti,2021,5779,Petrol,Manual,18800,1098000,5,Chennai
Volkswagen Polo,Volkswagen,2013,47371,Petrol,Manual,12380,263000,13,Chennai
Honda WR-V,Honda,2017,52199,Petrol,Manual,10870,556000,9,Chennai
Tata Tiago,Tata,2019,26003,Petrol,Manual,7767,440000,7,Chennai
Tata NEXON,Tata,2019,15092,Petrol,Auto,13716,777000,7,Chennai
Tata TIAGO NRG,Tata,2021,61206,Petrol,Manual,8050,455999,5,Chennai
Hyundai ALCAZAR,Hyundai,2022,50527,Petrol,Auto,24622,1438000,4,Chennai
Maruti Ciaz,Maruti,2020,11966,Petrol,Manual,13028,738000,6,Chennai
Renault Kwid,Renault,2018,23368,Petrol,Manual,4501,254999,8,Chennai
Hyundai VENUE,Hyundai,2022,41712,Petrol,Manual,11474,650000,4,Chennai
Tata Tiago,Tata,2020,93880,Petrol,Manual,5472,310000,6,Chennai
Tata PUNCH,Tata,2022,30535,Petrol,Auto,12533,710000,4,Chennai
Maruti Ciaz,Maruti,2017,44133,Petrol,Manual,11847,606000,9,Chennai
Hyundai New Elantra,Hyundai,2018,73410,Petrol,Auto,13999,793000,8,Chennai
Maruti Alto 800,Maruti,2012,60575,Petrol,Manual,17859,200999,14,Chennai
Skoda KUSHAQ,Skoda,2022,24909,Petrol,Auto,14486,846000,4,Chennai
Volkswagen Polo,Volkswagen,2016,73359,Petrol,Manual,8809,396000,10,Chennai
Ford Figo,Ford,2012,82726,Diesel,Manual,8809,180000,14,Chennai
Hyundai Verna,Hyundai,2013,111994,Diesel,Manual,27099,305000,13,Chennai
Ssangyong Rexton,Ssangyong,2013,96255,Diesel,Auto,24789,279000,13,Chennai
Ford Figo,Ford,2011,95206,Diesel,Manual,24789,131000,15,Chennai
KIA SELTOS,KIA,2020,145804,Diesel,Auto,28917,1330000,6,Chennai
KIA SELTOS,KIA,2020,139454,Petrol,Auto,23938,1101000,6,Chennai
Hyundai Eon,Hyundai,2015,43351,Petrol,Manual,6820,259000,11,Chennai
Hyundai i10,Hyundai,2012,32640,Petrol,Manual,20702,233000,14,Chennai
KIA SELTOS,KIA,2021,64621,Petrol,Manual,20102,1174000,5,Chennai
Honda Amaze,Honda,2013,88367,Petrol,Manual,9415,200000,13,Chennai
BMW 5 Series,BMW,2011,91410,Diesel,Auto,9415,629000,15,Chennai
Tata PUNCH,Tata,2022,25606,Petrol,Auto,13766,803999,4,Chennai
Skoda Fabia,Skoda,2011,180133,Diesel,Manual,13766,184000,15,Chennai
Hyundai i20,Hyundai,2012,160547,Diesel,Manual,13766,200000,14,Chennai
Hyundai Grand i10,Hyundai,2018,64887,Petrol,Auto,7944,450000,8,Chennai
Tata Nano,Tata,2013,43557,Petrol,Manual,2777,59000,13,Chennai
Honda Amaze,Honda,2018,93673,Petrol,Manual,8209,465000,8,Chennai
Hyundai i20,Hyundai,2011,122559,Petrol,Manual,8209,234000,15,Chennai
Ford Fiesta Classic,Ford,2011,76659,Petrol,Manual,8209,144000,15,Chennai
MG HECTOR,MG,2023,18802,Petrol,Auto,31485,1839000,3,Chennai
Skoda Laura,Skoda,2011,95153,Diesel,Auto,31485,200000,15,Chennai
Maruti Vitara Brezza,Maruti,2021,58522,Petrol,Manual,13801,806000,5,Chennai
Volkswagen Vento,Volkswagen,2017,60849,Petrol,Manual,9775,500000,9,Chennai
Hyundai Eon,Hyundai,2012,63597,Petrol,Manual,18214,204999,14,Chennai
Mahindra XUV500,Mahindra,2014,135974,Diesel,Manual,26691,567000,12,Chennai
Tata Tiago,Tata,2018,61603,Petrol,Auto,7414,420000,8,Chennai
Hyundai Verna,Hyundai,2019,59059,Petrol,Manual,13787,781000,7,Chennai
Hyundai i20,Hyundai,2012,38158,Petrol,Manual,25766,290000,14,Chennai
Volkswagen Polo,Volkswagen,2013,128848,Diesel,Manual,24522,276000,13,Chennai
Hyundai i10,Hyundai,2012,34595,Petrol,Manual,21235,239000,14,Chennai
Tata ALTROZ,Tata,2022,47676,Petrol,Auto,10239,580000,4,Chennai
Maruti Celerio,Maruti,2014,91920,Petrol,Auto,10894,328000,12,Chennai
Honda Jazz,Honda,2021,94631,Petrol,Auto,11280,639000,5,Chennai
Maruti SX4,Maruti,2010,67802,Petrol,Manual,11280,102000,16,Chennai
Ford Figo,Ford,2012,172000,Diesel,Manual,11280,192000,14,Chennai
Fiat Grand Punto,Fiat,2013,81332,Diesel,Manual,10840,122000,13,Chennai
Tata NEXON,Tata,2020,49431,Petrol,Manual,14914,871000,6,Chennai
Tata PUNCH,Tata,2023,51561,Petrol,Auto,10592,600000,3,Chennai
Renault Kwid,Renault,2016,59769,Petrol,Manual,6317,284000,10,Chennai
Mahindra XUV700,Mahindra,2024,16043,Petrol,Manual,27293,1594000,2,Chennai
Maruti Wagon R 1.0,Maruti,2016,122748,Petrol,Auto,8609,387000,10,Chennai
Chevrolet Cruze,Chevrolet,2015,132204,Diesel,Manual,14648,441000,11,Chennai
Nissan Micra Active,Nissan,2013,33990,Petrol,Manual,9838,209000,13,Chennai
Maruti Baleno,Maruti,2017,35226,Petrol,Manual,9736,498000,9,Chennai
Honda Amaze,Honda,2015,252886,Petrol,Manual,10376,394000,11,Chennai
Tata PUNCH,Tata,2022,56095,Petrol,Manual,10821,613000,4,Chennai
Chevrolet Beat,Chevrolet,2011,76505,Petrol,Manual,10821,103000,15,Chennai
Fiat Punto EVO,Fiat,2016,85274,Diesel,Manual,7400,281000,10,Chennai
CITROEN C3,CITROEN,2023,16648,Petrol,Manual,8385,475000,3,Chennai
Chevrolet Spark,Chevrolet,2011,2,Petrol,Manual,8385,84000,15,Chennai
Hyundai Santro Xing,Hyundai,2011,75448,Petrol,Manual,8385,128000,15,Chennai
BMW 3 Series,BMW,2013,83206,Diesel,Auto,70812,797000,13,Chennai
Hyundai Grand i10,Hyundai,2017,62400,Petrol,Manual,9071,463999,9,Chennai
Tata Zest,Tata,2014,97352,Petrol,Manual,9167,276000,12,Chennai
Maruti Ertiga,Maruti,2017,143146,Petrol,Auto,11767,529000,9,Chennai
Hyundai i10,Hyundai,2010,46627,Petrol,Manual,11767,160000,16,Chennai
Chevrolet Sail,Chevrolet,2013,68291,Petrol,Manual,7061,150000,13,Chennai
Tata Indica Vista,Tata,2013,215885,Diesel,Manual,9862,111000,13,Chennai
Maruti Alto 800,Maruti,2015,28287,Petrol,Manual,6583,250000,11,Chennai
Chevrolet Spark,Chevrolet,2010,90000,Petrol,Manual,6583,68000,16,Chennai
Nissan Micra,Nissan,2016,37463,Petrol,Auto,6117,275000,10,Chennai
Hyundai Eon,Hyundai,2016,85288,Petrol,Manual,5561,250000,10,Chennai
Hyundai VENUE,Hyundai,2025,2302,Petrol,Manual,15496,905000,1,Chennai
Toyota Urban Cruiser Taisor,Toyota,2024,17310,Petrol,Manual,17122,1000000,2,Chennai
Maruti Swift Dzire,Maruti,2016,119471,Petrol,Manual,10744,483000,10,Chennai
Maruti XL6,Maruti,2023,26949,Petrol,Manual,15410,900000,3,Chennai
Tata ALTROZ,Tata,2022,100508,Diesel,Manual,16283,732000,4,Chennai
Tata PUNCH,Tata,2021,29262,Petrol,Manual,10186,577000,5,Chennai
Maruti Swift,Maruti,2020,56722,Petrol,Auto,11474,650000,6,Chennai
Skoda Fabia,Skoda,2011,52646,Petrol,Manual,11474,217000,15,Chennai
Hyundai i20,Hyundai,2011,56537,Petrol,Manual,11474,222000,15,Chennai
Ford Figo,Ford,2012,88869,Petrol,Manual,12883,145000,14,Chennai
Volkswagen Polo,Volkswagen,2010,124237,Petrol,Manual,12883,231000,16,Chennai
Hyundai i10,Hyundai,2011,63000,Petrol,Manual,12883,202999,15,Chennai
Maruti Baleno,Maruti,2018,19300,Petrol,Auto,8826,500000,8,Chennai
Maruti Swift,Maruti,2013,104026,Petrol,Manual,14593,310000,13,Chennai
Renault Kwid,Renault,2024,9989,Petrol,Manual,8332,472000,2,Chennai
Honda Brio,Honda,2015,30380,Petrol,Auto,9691,368000,11,Chennai
Toyota Urban Cruiser Taisor,Toyota,2025,1772,Petrol,Manual,14554,850000,1,Chennai
