Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Hyundai NEW I20,Hyundai,2023,11135,Petrol,Auto,13530,766000,3,Ahmedabad
Datsun Go,Datsun,2015,122106,Petrol,Manual,3081,117000,11,Ahmedabad
Tata Tiago,Tata,2022,99275,CNG,Manual,7368,417000,4,Ahmedabad
Honda City,Honda,2012,115554,Petrol,Manual,18214,204999,14,Ahmedabad
Hyundai Elite i20,Hyundai,2016,35962,Petrol,Manual,9333,420000,10,Ahmedabad
KIA CARENS,KIA,2023,15169,Diesel,Manual,19027,1111000,3,Ahmedabad
Hyundai Verna,Hyundai,2016,91262,Diesel,Manual,10696,405999,10,Ahmedabad
Hyundai Grand i10,Hyundai,2017,97124,Petrol,Manual,6396,327000,9,Ahmedabad
Maruti Swift Dzire,Maruti,2016,49097,Petrol,Manual,7664,345000,10,Ahmedabad
Maruti Swift,Maruti,2014,96432,Petrol,Manual,7821,235000,12,Ahmedabad
Ford Ecosport,Ford,2016,100877,Petrol,Auto,7440,334000,10,Ahmedabad
Tata Zest,Tata,2014,89294,Petrol,Manual,6056,182000,12,Ahmedabad
Maruti Baleno,Maruti,2021,69629,CNG,Manual,8513,482000,5,Ahmedabad
Tata PUNCH,Tata,2024,30896,CNG,Manual,12149,688000,2,Ahmedabad
Skoda KUSHAQ,Skoda,2023,65263,Petrol,Manual,12715,720000,3,Ahmedabad
Toyota Innova,Toyota,2014,73319,Diesel,Manual,20747,441000,12,Ahmedabad
Hyundai Eon,Hyundai,2017,110624,CNG,Manual,5129,195000,9,Ahmedabad
Jeep Compass,Jeep,2017,95707,Petrol,Auto,12285,628000,9,Ahmedabad
Renault TRIBER,Renault,2023,28302,Petrol,Manual,7924,449000,3,Ahmedabad
Maruti Alto 800,Maruti,2014,110309,Petrol,Manual,4981,150000,12,Ahmedabad
Tata Tiago,Tata,2017,74070,Petrol,Manual,5610,287000,9,Ahmedabad
Hyundai Elite i20,Hyundai,2019,136954,Petrol,Auto,10119,455000,7,Ahmedabad
Ford Ecosport,Ford,2020,83649,Diesel,Manual,10882,616000,6,Ahmedabad
Hyundai i10,Hyundai,2012,71253,Petrol,Manual,18320,206000,14,Ahmedabad
Maruti Alto K10,Maruti,2014,59340,CNG,Manual,16038,181000,12,Ahmedabad
Tata NEXON,Tata,2024,37551,Petrol,Auto,16883,986000,2,Ahmedabad
Maruti Alto,Maruti,2020,40712,Petrol,Manual,4170,236000,6,Ahmedabad
Datsun Redi Go,Datsun,2021,38994,Petrol,Manual,3198,181000,5,Ahmedabad
Hyundai Eon,Hyundai,2015,49356,Petrol,Manual,4884,185000,11,Ahmedabad
Hyundai i20,Hyundai,2013,47227,Petrol,Manual,13168,280000,13,Ahmedabad
