Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Honda Amaze,Honda,2015,55169,Petrol,Manual,7189,273000,11,Kochi
Hyundai Creta,Hyundai,2017,40310,Petrol,Manual,12610,645000,9,Kochi
Maruti Alto K10,Maruti,2016,72853,Petrol,Auto,5917,266000,10,Kochi
Honda Jazz,Honda,2017,124203,Petrol,Manual,9276,417000,9,Kochi
Honda Amaze,Honda,2015,45099,Petrol,Manual,8822,335000,11,Kochi
Maruti Swift,Maruti,2015,119459,Petrol,Manual,9928,377000,11,Kochi
Renault Kwid,Renault,2018,61303,Petrol,Manual,4360,247000,8,Kochi
Honda City,Honda,2016,78233,Petrol,Manual,10210,459000,10,Kochi
Hyundai i20,Hyundai,2012,44196,Diesel,Manual,10210,299000,14,Kochi
Maruti Celerio,Maruti,2015,54933,Petrol,Auto,7734,294000,11,Kochi
Hyundai Grand i10,Hyundai,2013,75139,Petrol,Manual,12192,259000,13,Kochi
Hyundai i20,Hyundai,2012,99234,Petrol,Auto,26299,296000,14,Kochi
Honda Brio,Honda,2013,79070,Petrol,Manual,11721,249000,13,Kochi
Maruti Celerio,Maruti,2016,60116,Petrol,Manual,6451,290000,10,Kochi
Honda Jazz,Honda,2015,120297,Petrol,Manual,9471,360000,11,Kochi
Hyundai Xcent,Hyundai,2014,94095,Petrol,Manual,7573,227999,12,Kochi
Nissan Micra Active,Nissan,2013,136687,Petrol,Manual,7532,160000,13,Kochi
Hyundai NEW SANTRO,Hyundai,2018,94399,Petrol,Manual,4855,275000,8,Kochi
Hyundai Eon,Hyundai,2017,14800,Petrol,Manual,4564,233000,9,Kochi
Maruti Alto,Maruti,2019,69624,Petrol,Manual,4501,254999,7,Kochi
Maruti Wagon R 1.0,Maruti,2016,56463,Petrol,Auto,8245,371000,10,Kochi
Hyundai Grand i10,Hyundai,2016,44448,Petrol,Manual,6317,284000,10,Kochi
Hyundai Creta,Hyundai,2016,92748,Petrol,Auto,13887,624000,10,Kochi
Hyundai Xcent,Hyundai,2015,66939,Petrol,Manual,7189,273000,11,Kochi
Maruti Alto 800,Maruti,2018,47656,Petrol,Manual,4565,259000,8,Kochi
Renault Duster,Renault,2014,76863,Diesel,Manual,17935,381000,12,Kochi
Hyundai Elite i20,Hyundai,2015,68266,Petrol,Manual,10376,394000,11,Kochi
Hyundai Verna,Hyundai,2020,82278,Petrol,Auto,13869,810000,6,Kochi
Honda City,Honda,2016,142290,Petrol,Auto,11148,501000,10,Kochi
Maruti Celerio,Maruti,2018,39143,Petrol,Auto,6708,380000,8,Kochi
Hyundai Grand i10,Hyundai,2013,28268,Petrol,Manual,11392,242000,13,Kochi
Honda Amaze,Honda,2016,63272,Petrol,Manual,7852,353000,10,Kochi
Renault Kwid,Renault,2019,47225,Petrol,Manual,4297,243000,7,Kochi
Hyundai Elite i20,Hyundai,2015,102603,Diesel,Manual,14448,434999,11,Kochi
Mahindra KUV 100 NXT,Mahindra,2018,17136,CNG,Manual,6696,301000,8,Kochi
Renault Kwid,Renault,2019,44759,Petrol,Manual,4378,248000,7,Kochi
Datsun Redi Go,Datsun,2018,49683,Petrol,Auto,3548,200999,8,Kochi
Volkswagen Vento,Volkswagen,2019,83459,Diesel,Auto,14383,840000,7,Kochi
MG HECTOR PLUS,MG,2020,42482,Petrol,Manual,17739,1036000,6,Kochi
Nissan Micra,Nissan,2018,17225,Petrol,Auto,7969,451000,8,Kochi
Hyundai i20,Hyundai,2012,128586,Diesel,Manual,7969,225000,14,Kochi
Skoda Rapid,Skoda,2017,190019,Diesel,Auto,10967,493000,9,Kochi
Maruti Wagon R 1.0,Maruti,2015,27163,Petrol,Manual,9059,344000,11,Kochi
Maruti Alto K10,Maruti,2013,62963,Petrol,Manual,9415,200000,13,Kochi
Renault Kwid,Renault,2016,39248,Petrol,Manual,5072,227999,10,Kochi
Renault Kwid,Renault,2016,95485,Petrol,Manual,3337,150000,10,Kochi
Hyundai Creta,Hyundai,2017,76336,Diesel,Manual,11345,509999,9,Kochi
Volkswagen Polo,Volkswagen,2011,71774,Petrol,Manual,11345,186000,15,Kochi
Hyundai Grand i10,Hyundai,2014,70416,Petrol,Manual,7174,216000,12,Kochi
Hyundai Xcent,Hyundai,2014,107328,Petrol,Manual,9632,290000,12,Kochi
Honda City,Honda,2017,195387,Diesel,Manual,12212,549000,9,Kochi
Ford Figo,Ford,2011,60989,Petrol,Manual,12212,98000,15,Kochi
Ford Figo,Ford,2012,114954,Diesel,Manual,12212,112000,14,Kochi
Maruti Ciaz,Maruti,2015,35810,Petrol,Manual,13694,520000,11,Kochi
Hyundai Eon,Hyundai,2014,73729,Petrol,Manual,5148,155000,12,Kochi
Toyota Etios,Toyota,2012,249996,Diesel,Manual,5148,250000,14,Kochi
Ford Figo,Ford,2012,59781,Petrol,Manual,12439,140000,14,Kochi
Renault Kwid,Renault,2018,59290,Petrol,Auto,5437,308000,8,Kochi
Hyundai i20,Hyundai,2012,64405,Petrol,Auto,22745,256000,14,Kochi
Chevrolet Sail UVA,Chevrolet,2013,40000,Diesel,Manual,9151,103000,13,Kochi
Maruti Swift,Maruti,2019,73395,Petrol,Manual,7591,430000,7,Kochi
Tata Tiago,Tata,2016,121398,Petrol,Manual,5561,250000,10,Kochi
