Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Tata NEXON,Tata,2021,52465,Petrol,Auto,12812,726000,5,Mumbai
Jaguar XF,Jaguar,2015,36442,Petrol,Auto,34245,1325000,11,Mumbai
Hyundai Grand i10,Hyundai,2018,53194,Petrol,Manual,5474,310000,8,Mumbai
Maruti S Cross,Maruti,2015,92164,Diesel,Manual,15714,473000,11,Mumbai
Nissan MAGNITE,Nissan,2025,9264,Petrol,Manual,11933,676000,1,Mumbai
Tata ALTROZ,Tata,2023,39430,Petrol,Auto,13082,741000,3,Mumbai
Maruti New Wagon-R,Maruti,2019,25027,Petrol,Manual,6108,346000,7,Mumbai
Tata ALTROZ,Tata,2023,25451,Diesel,Manual,13331,755000,3,Mumbai
Volkswagen Ameo,Volkswagen,2019,39830,Diesel,Auto,9884,560000,7,Mumbai
Renault Kwid,Renault,2016,62857,Petrol,Manual,4007,180000,10,Mumbai
Maruti Baleno,Maruti,2016,47373,Petrol,Manual,8008,360000,10,Mumbai
Toyota Innova Crysta,Toyota,2022,68122,Diesel,Manual,34074,1989999,4,Mumbai
Hyundai Creta,Hyundai,2019,46498,Petrol,Auto,16266,950000,7,Mumbai
Hyundai Verna,Hyundai,2014,69212,Diesel,Auto,16193,344000,12,Mumbai
Jeep MERIDIAN,Jeep,2022,39739,Diesel,Auto,40221,2349000,4,Mumbai
Mercedes Benz CLS Class,Mercedes,2015,31794,Diesel,Auto,83484,2550000,11,Mumbai
Maruti Celerio,Maruti,2020,42127,Petrol,Auto,5702,323000,6,Mumbai
Landrover DISCOVERY SPORT,Landrover,2020,56121,Diesel,Auto,66349,3875000,6,Mumbai
Hyundai i20,Hyundai,2012,44329,Petrol,Manual,15460,174000,14,Mumbai
Maruti Celerio,Maruti,2014,72043,Petrol,Auto,6942,209000,12,Mumbai
Maruti S PRESSO,Maruti,2021,28162,Petrol,Manual,5013,284000,5,Mumbai
BMW X1,BMW,2017,48094,Diesel,Auto,33701,1550000,9,Mumbai
Hyundai Creta,Hyundai,2015,88122,Diesel,Manual,19465,586000,11,Mumbai
Hyundai Creta,Hyundai,2017,117634,CNG,Auto,14789,562000,9,Mumbai
Hyundai Elite i20,Hyundai,2017,38194,Petrol,Manual,7253,371000,9,Mumbai
Tata NEXON,Tata,2021,122716,Petrol,Manual,10766,484000,5,Mumbai
BMW X7,BMW,2021,40603,Diesel,Auto,133538,7798999,5,Mumbai
Landrover DISCOVERY SPORT,Landrover,2020,49183,Diesel,Auto,68062,3975000,6,Mumbai
Maruti IGNIS,Maruti,2018,80765,CNG,Manual,7794,350000,8,Mumbai
Volkswagen Ameo,Volkswagen,2017,148441,Diesel,Auto,6050,272000,9,Mumbai
Tata ALTROZ,Tata,2023,8733,Petrol,Auto,12088,685000,3,Mumbai
Volkswagen Polo,Volkswagen,2017,72046,Petrol,Auto,10416,533000,9,Mumbai
Mahindra Kuv100,Mahindra,2016,64900,Petrol,Manual,4856,218000,10,Mumbai
Hyundai AURA,Hyundai,2023,47649,Petrol,Auto,9833,557000,3,Mumbai
Honda City,Honda,2018,47275,Petrol,Auto,9342,529000,8,Mumbai
Renault Kiger,Renault,2021,57005,Petrol,Manual,7626,432000,5,Mumbai
KIA SELTOS,KIA,2020,50084,Petrol,Auto,20025,1170000,6,Mumbai
Skoda Rapid,Skoda,2018,75083,Petrol,Auto,7255,411000,8,Mumbai
Nissan MAGNITE,Nissan,2021,34722,Petrol,Manual,8169,463000,5,Mumbai
Maruti Vitara Brezza,Maruti,2020,12270,Petrol,Manual,12269,695000,6,Mumbai
Maruti Ertiga,Maruti,2014,67755,CNG,Manual,42619,480000,12,Mumbai
Ford New Figo,Ford,2017,49256,Petrol,Manual,4966,254000,9,Mumbai
Maruti Alto 800,Maruti,2017,63883,Petrol,Manual,3695,189000,9,Mumbai
Tata Tiago,Tata,2017,115243,Petrol,Auto,6028,271000,9,Mumbai
Hyundai Grand i10,Hyundai,2014,45221,Petrol,Manual,6931,209000,12,Mumbai
Honda Amaze,Honda,2020,83828,Petrol,Manual,7552,428000,6,Mumbai
Renault Kwid,Renault,2017,128262,CNG,Manual,5398,204999,9,Mumbai
Nissan Terrano,Nissan,2014,89284,Diesel,Manual,11509,244000,12,Mumbai
Honda City,Honda,2016,109591,Petrol,Manual,8944,401999,10,Mumbai
Honda Amaze,Honda,2018,39340,Petrol,Auto,8209,465000,8,Mumbai
Hyundai Xcent,Hyundai,2015,72851,Petrol,Manual,9116,346000,11,Mumbai
Toyota Etios Liva,Toyota,2013,26072,Petrol,Manual,8097,172000,13,Mumbai
Maruti Swift Dzire,Maruti,2015,55839,Petrol,Manual,7763,295000,11,Mumbai
Maruti Dzire,Maruti,2018,60333,Petrol,Auto,7855,445000,8,Mumbai
Ford Ecosport,Ford,2013,46078,Petrol,Manual,12008,254999,13,Mumbai
Tata PUNCH,Tata,2021,65737,Petrol,Manual,8279,469000,5,Mumbai
Tata Tiago,Tata,2020,32882,Petrol,Manual,6267,355000,6,Mumbai
Renault Kwid,Renault,2015,34594,Petrol,Manual,4345,165000,11,Mumbai
Datsun Redi Go,Datsun,2018,20918,Petrol,Auto,3937,223000,8,Mumbai
Tata ALTROZ,Tata,2020,15509,Petrol,Manual,9081,513999,6,Mumbai
KIA SELTOS,KIA,2020,63799,Petrol,Auto,18743,1095000,6,Mumbai
Hyundai Elite i20,Hyundai,2015,66585,Petrol,Manual,9744,370000,11,Mumbai
Maruti Swift Dzire,Maruti,2014,56891,Petrol,Manual,8243,248000,12,Mumbai
Tata NEXON,Tata,2024,7192,Petrol,Auto,14775,863000,2,Mumbai
KIA SELTOS,KIA,2021,74425,Diesel,Auto,14982,875000,5,Mumbai
Tata ALTROZ,Tata,2024,5443,Petrol,Manual,13646,773000,2,Mumbai
Honda WR-V,Honda,2018,42086,Diesel,Manual,10562,540000,8,Mumbai
Hyundai Creta,Hyundai,2022,67927,Diesel,Manual,22071,1289000,4,Mumbai
Maruti Wagon R 1.0,Maruti,2016,15712,Petrol,Auto,5632,252999,10,Mumbai
Skoda Rapid,Skoda,2015,133941,Diesel,Manual,9084,273000,11,Mumbai
Maruti Alto 800,Maruti,2013,25432,CNG,Manual,9084,162000,13,Mumbai
Hyundai EXTER,Hyundai,2024,24821,CNG,Manual,14556,850000,2,Mumbai
