Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Renault Kwid,Renault,2021,29042,Petrol,Manual,6529,370000,5,Bangalore
Tata TIGOR,Tata,2019,81313,Petrol,Auto,8809,499000,7,Bangalore
Tata TIGOR,Tata,2021,36206,Petrol,Manual,10060,570000,5,Bangalore
Renault Kwid,Renault,2018,57335,Petrol,Manual,4554,258000,8,Bangalore
Renault Kwid,Renault,2017,45145,Petrol,Manual,5645,289000,9,Bangalore
Maruti Wagon R 1.0,Maruti,2017,49218,Petrol,Auto,7147,366000,9,Bangalore
Tata Zest,Tata,2014,76499,Petrol,Manual,9931,299000,12,Bangalore
Mahindra TUV300,Mahindra,2017,30609,Diesel,Manual,12457,560000,9,Bangalore
Honda Jazz,Honda,2017,71229,Petrol,Manual,9457,484000,9,Bangalore
Hyundai i10,Hyundai,2013,79492,Petrol,Manual,13146,279000,13,Bangalore
Hyundai i10,Hyundai,2013,68100,Petrol,Manual,13421,285000,13,Bangalore
Volkswagen Ameo,Volkswagen,2016,67291,Petrol,Manual,9518,428000,10,Bangalore
Toyota Etios Liva,Toyota,2015,38768,Petrol,Manual,10036,381000,11,Bangalore
Renault Duster,Renault,2014,90221,Diesel,Manual,18782,399000,12,Bangalore
Hyundai Grand i10,Hyundai,2014,81419,Diesel,Manual,15461,328000,12,Bangalore
Honda City,Honda,2014,82405,Petrol,Auto,15893,478000,12,Bangalore
Hyundai Eon,Hyundai,2014,40419,Petrol,Manual,7871,237000,12,Bangalore
Maruti Celerio,Maruti,2020,18949,Petrol,Manual,7403,419000,6,Bangalore
KIA SONET,KIA,2021,62570,Diesel,Manual,14105,799000,5,Bangalore
Maruti Ciaz,Maruti,2015,51463,Petrol,Manual,13677,519000,11,Bangalore
Maruti Dzire,Maruti,2018,41032,Petrol,Auto,9279,526000,8,Bangalore
Honda Jazz,Honda,2015,79887,Diesel,Manual,12954,390000,11,Bangalore
Renault Duster,Renault,2016,77608,Diesel,Auto,14220,540000,10,Bangalore
Hyundai Eon,Hyundai,2013,43596,Petrol,Manual,9705,206000,13,Bangalore
Maruti Ciaz,Maruti,2018,99109,Petrol,Manual,9709,550000,8,Bangalore
Maruti Swift,Maruti,2016,18988,Petrol,Manual,10640,478000,10,Bangalore
Maruti Baleno,Maruti,2016,83182,Petrol,Manual,10525,473000,10,Bangalore
Maruti Dzire,Maruti,2018,30785,Petrol,Manual,10139,574000,8,Bangalore
Maruti Dzire,Maruti,2018,71880,Petrol,Manual,9444,535000,8,Bangalore
Maruti Dzire,Maruti,2020,41988,Petrol,Manual,8978,509000,6,Bangalore
Honda Jazz,Honda,2017,22707,Petrol,Auto,10093,516000,9,Bangalore
Maruti S Cross,Maruti,2021,33046,Petrol,Manual,12180,690000,5,Bangalore
Maruti Wagon R 1.0,Maruti,2016,43312,Petrol,Manual,7580,341000,10,Bangalore
Honda Jazz,Honda,2017,56139,Petrol,Auto,9149,468000,9,Bangalore
Maruti Ciaz,Maruti,2017,76249,Petrol,Manual,11094,567000,9,Bangalore
Ford Classic,Ford,2013,87098,Diesel,Manual,20020,225000,13,Bangalore
Hyundai Grand i10,Hyundai,2019,25161,Petrol,Manual,7246,409999,7,Bangalore
Hyundai Elite i20,Hyundai,2018,53812,Petrol,Auto,8650,490000,8,Bangalore
Hyundai Grand i10,Hyundai,2017,29408,Petrol,Auto,9756,499000,9,Bangalore
Hyundai Elite i20,Hyundai,2017,54576,Petrol,Manual,7507,384000,9,Bangalore
Hyundai Eon,Hyundai,2018,109456,Petrol,Manual,5806,261000,8,Bangalore
Maruti Ciaz,Maruti,2016,52851,Petrol,Manual,10136,455999,10,Bangalore
Honda City,Honda,2017,43945,Petrol,Manual,10296,527000,9,Bangalore
Honda Jazz,Honda,2018,47411,Petrol,Auto,11474,650000,8,Bangalore
Volkswagen Vento,Volkswagen,2016,119043,Diesel,Manual,13886,527000,10,Bangalore
Hyundai NEW I20,Hyundai,2022,51522,Petrol,Manual,12357,700000,4,Bangalore
KIA SONET,KIA,2022,46589,Diesel,Auto,21403,1250000,4,Bangalore
Mahindra XUV500,Mahindra,2016,64362,Diesel,Manual,21323,825000,10,Bangalore
Tata Tiago,Tata,2016,57688,Petrol,Manual,6406,288000,10,Bangalore
Ford Ecosport,Ford,2016,72482,Diesel,Manual,14484,550000,10,Bangalore
Honda City,Honda,2016,129335,Petrol,Auto,10534,474000,10,Bangalore
Maruti BREZZA,Maruti,2022,10563,Petrol,Auto,15128,884000,4,Bangalore
Honda City,Honda,2015,51571,Petrol,Manual,12782,484999,11,Bangalore
Datsun Redi Go,Datsun,2017,51585,Petrol,Manual,2933,150000,9,Bangalore
Maruti Baleno,Maruti,2023,29137,Petrol,Manual,12533,710000,3,Bangalore
Renault Duster,Renault,2019,37645,Diesel,Manual,15838,925000,7,Bangalore
Maruti Ertiga,Maruti,2014,54724,Petrol,Manual,17888,539000,12,Bangalore
Renault Duster,Renault,2015,76908,Diesel,Manual,14190,426999,11,Bangalore
Maruti Ciaz,Maruti,2018,111327,Petrol,Manual,11001,495000,8,Bangalore
Hyundai VENUE,Hyundai,2022,58032,Petrol,Manual,12922,732000,4,Bangalore
Maruti Baleno,Maruti,2017,99529,Petrol,Manual,10069,515000,9,Bangalore
Volkswagen Vento,Volkswagen,2017,76300,Petrol,Auto,11635,595000,9,Bangalore
Mahindra XUV700,Mahindra,2022,69334,Diesel,Manual,26540,1550000,4,Bangalore
Hyundai Grand i10,Hyundai,2014,55667,Petrol,Manual,8470,254999,12,Bangalore
Tata PUNCH,Tata,2022,84424,Petrol,Manual,10288,583000,4,Bangalore
Maruti Vitara Brezza,Maruti,2018,55196,Diesel,Auto,15249,780000,8,Bangalore
Toyota Urban Cruiser Taisor,Toyota,2024,21390,Petrol,Manual,15753,919999,2,Bangalore
Hyundai Elite i20,Hyundai,2014,122146,Petrol,Manual,10816,326000,12,Bangalore
Renault Kiger,Renault,2021,29497,Petrol,Manual,8932,505999,5,Bangalore
Toyota Glanza,Toyota,2022,62831,Petrol,Manual,9169,519000,4,Bangalore
Maruti Baleno,Maruti,2016,46313,Petrol,Manual,8720,392000,10,Bangalore
Hyundai Creta,Hyundai,2017,80850,Petrol,Manual,11900,609000,9,Bangalore
Hyundai Creta,Hyundai,2020,73011,Diesel,Manual,15838,925000,6,Bangalore
Honda City,Honda,2018,33547,Petrol,Manual,11827,670000,8,Bangalore
Tata Tiago,Tata,2019,69193,Petrol,Manual,7154,405000,7,Bangalore
Hyundai Verna,Hyundai,2016,95846,Petrol,Auto,13185,593000,10,Bangalore
Chevrolet Sail UVA,Chevrolet,2013,85778,Diesel,Manual,17414,196000,13,Bangalore
Skoda KUSHAQ,Skoda,2021,86733,Petrol,Manual,15222,889000,5,Bangalore
Mahindra Thar,Mahindra,2021,40490,Petrol,Auto,16866,985000,5,Bangalore
Hyundai Creta,Hyundai,2019,61822,Petrol,Manual,13059,740000,7,Bangalore
Nissan MAGNITE,Nissan,2025,2391,Petrol,Auto,12004,680000,1,Bangalore
Maruti Baleno,Maruti,2018,98712,Petrol,Auto,7732,438000,8,Bangalore
Mahindra XUV500,Mahindra,2018,90668,Diesel,Manual,16560,869999,8,Bangalore
Toyota Innova Crysta,Toyota,2022,22173,Petrol,Auto,29349,1714000,4,Bangalore
Nissan MAGNITE,Nissan,2021,69890,Petrol,Manual,8473,480000,5,Bangalore
Hyundai Creta,Hyundai,2016,36776,Petrol,Manual,13903,625000,10,Bangalore
Hyundai GRAND I10 NIOS,Hyundai,2022,39614,Petrol,Manual,10496,595000,4,Bangalore
Tata Tiago,Tata,2016,82759,Petrol,Manual,7215,324000,10,Bangalore
Toyota YARIS,Toyota,2020,49011,Petrol,Manual,9480,537000,6,Bangalore
Maruti Vitara Brezza,Maruti,2019,69559,Diesel,Manual,15153,885000,7,Bangalore
