Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Swift,Maruti,2023,19862,Petrol,Auto,10768,610000,3,Jaipur
Skoda SLAVIA,Skoda,2022,75166,Petrol,Manual,12803,725000,4,Jaipur
Maruti Alto 800,Maruti,2017,81982,Petrol,Manual,4497,229999,9,Jaipur
Ford FREESTYLE,Ford,2018,128009,Petrol,Manual,6890,310000,8,Jaipur
KIA SONET,KIA,2021,66722,Petrol,Manual,11033,625000,5,Jaipur
Honda City,Honda,2019,54188,Petrol,Auto,9744,552000,7,Jaipur
Renault Kiger,Renault,2022,74623,Petrol,Manual,8563,484999,4,Jaipur
Tata TIGOR,Tata,2018,79067,Petrol,Manual,5583,316000,8,Jaipur
Tata ALTROZ,Tata,2023,37220,Petrol,Manual,11807,669000,3,Jaipur
KIA SYROS,KIA,2025,2598,Petrol,Manual,17037,994999,1,Jaipur
Honda Amaze,Honda,2021,53671,Petrol,Manual,8562,484999,5,Jaipur
Maruti Celerio,Maruti,2017,91381,Petrol,Auto,6162,315000,9,Jaipur
Hyundai Xcent,Hyundai,2017,101762,Petrol,Manual,7341,330000,9,Jaipur
Honda Amaze,Honda,2016,23030,Petrol,Manual,7229,325000,10,Jaipur
Honda Amaze,Honda,2022,26343,Petrol,Manual,9532,540000,4,Jaipur
Hyundai i20,Hyundai,2013,91706,Petrol,Manual,12710,270000,13,Jaipur
Maruti Celerio,Maruti,2021,52331,Petrol,Manual,6620,375000,5,Jaipur
Tata Tiago,Tata,2018,51520,Petrol,Manual,6109,346000,8,Jaipur
Maruti Celerio,Maruti,2020,31679,Petrol,Manual,5825,330000,6,Jaipur
Hyundai GRAND I10 NIOS,Hyundai,2020,85637,CNG,Auto,9268,525000,6,Jaipur
Skoda Rapid,Skoda,2018,92251,Diesel,Manual,9971,509999,8,Jaipur
Maruti Wagon R 1.0,Maruti,2018,48105,Petrol,Auto,5649,320000,8,Jaipur
Hyundai Elite i20,Hyundai,2017,91027,Petrol,Manual,8016,409999,9,Jaipur
Maruti S Cross,Maruti,2020,11656,Petrol,Manual,11500,651000,6,Jaipur
Honda WR-V,Honda,2017,146319,Petrol,Manual,8125,365000,9,Jaipur
Hyundai Elite i20,Hyundai,2017,61636,Petrol,Manual,8700,445000,9,Jaipur
Honda City,Honda,2016,45716,Petrol,Auto,10999,494000,10,Jaipur
Maruti IGNIS,Maruti,2019,84136,Petrol,Auto,7238,409999,7,Jaipur
