Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Swift,Maruti,2015,114614,Diesel,Manual,9798,295000,11,Agra
Maruti Wagon R 1.0,Maruti,2014,68222,Petrol,Manual,6244,188000,12,Agra
Honda Amaze,Honda,2015,88294,Diesel,Manual,7374,222000,11,Agra
Ford Ecosport,Ford,2016,62580,Diesel,Manual,7531,286000,10,Agra
Honda Brio,Honda,2013,83134,Petrol,Manual,5418,114999,13,Agra
Jaguar XF,Jaguar,2015,155950,Diesel,Auto,26191,800000,11,Agra
Renault Duster,Renault,2014,114624,Diesel,Manual,9791,208000,12,Agra
Hyundai Elite i20,Hyundai,2017,81375,Diesel,Manual,7452,335000,9,Agra
Ford Ecosport,Ford,2014,117059,Diesel,Manual,8756,186000,12,Agra
Honda Amaze,Honda,2014,62531,Petrol,Manual,6576,198000,12,Agra
Maruti Alto K10,Maruti,2014,94403,Petrol,Manual,5414,163000,12,Agra
Maruti Vitara Brezza,Maruti,2016,75779,Diesel,Manual,9770,371000,10,Agra
Mahindra XUV500,Mahindra,2013,73010,Diesel,Manual,20169,227000,13,Agra
Mahindra TUV300,Mahindra,2018,120160,Diesel,Manual,7207,324000,8,Agra
Maruti Wagon R 1.0,Maruti,2014,288683,Petrol,Manual,6676,200999,12,Agra
Maruti Wagon R 1.0,Maruti,2013,41029,Petrol,Manual,7532,160000,13,Agra
Maruti Wagon R 1.0,Maruti,2017,72009,Petrol,Manual,5103,261000,9,Agra
Maruti Wagon R 1.0,Maruti,2015,41625,Petrol,Manual,6083,231000,11,Agra
Maruti Baleno,Maruti,2017,53082,Petrol,Manual,8915,455999,9,Agra
Hyundai Grand i10,Hyundai,2017,107230,Petrol,Manual,5784,260000,9,Agra
Maruti Ertiga,Maruti,2015,37757,Petrol,Manual,10086,383000,11,Agra
Maruti Swift,Maruti,2015,140480,Petrol,Manual,8111,308000,11,Agra
Maruti Swift Dzire,Maruti,2014,146456,Diesel,Manual,10027,213000,12,Agra
KIA CARENS,KIA,2024,13681,Petrol,Manual,19348,1130000,2,Agra
Honda Amaze,Honda,2013,168500,Diesel,Manual,13327,150000,13,Agra
Tata Tiago,Tata,2018,111762,Diesel,Manual,5339,240000,8,Agra
Maruti Wagon R 1.0,Maruti,2016,102548,Petrol,Manual,4805,216000,10,Agra
Maruti Swift,Maruti,2015,129375,Petrol,Manual,5267,200000,11,Agra
Maruti Alto 800,Maruti,2018,63838,Petrol,Manual,3283,186000,8,Agra
Hyundai i10,Hyundai,2013,21752,Petrol,Manual,7249,154000,13,Agra
Honda City,Honda,2014,170742,Diesel,Manual,10921,231999,12,Agra
Hyundai GRAND I10 NIOS,Hyundai,2020,51791,Petrol,Manual,7061,400000,6,Agra
Maruti Wagon R 1.0,Maruti,2015,18663,Petrol,Manual,6346,241000,11,Agra
Maruti Wagon R 1.0,Maruti,2017,87640,Petrol,Manual,5005,256000,9,Agra
Maruti Swift,Maruti,2012,95641,Diesel,Manual,5005,220000,14,Agra
Honda Brio,Honda,2014,83979,Petrol,Manual,6344,191000,12,Agra
Maruti Alto 800,Maruti,2018,73600,Petrol,Manual,3566,202000,8,Agra
Maruti Wagon R 1.0,Maruti,2014,166646,Petrol,Manual,6045,182000,12,Agra
Honda Amaze,Honda,2014,90232,Petrol,Manual,9333,281000,12,Agra
Maruti Eeco,Maruti,2012,202686,Petrol,Manual,4967,56000,14,Agra
Hyundai Eon,Hyundai,2015,32494,Petrol,Manual,4398,167000,11,Agra
Hyundai New Elantra,Hyundai,2013,91480,Diesel,Auto,20258,227999,13,Agra
Maruti Wagon R 1.0,Maruti,2015,91043,Petrol,Manual,5662,215000,11,Agra
Maruti Alto K10,Maruti,2022,27105,Petrol,Manual,5755,326000,4,Agra
Maruti Swift Dzire,Maruti,2015,121198,Diesel,Manual,10595,319000,11,Agra
