Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Alto 800,Maruti,2012,28705,Petrol,Manual,13772,155000,14,Patna
Hyundai i20 Active,Hyundai,2018,70581,Diesel,Manual,6647,340000,8,Patna
Renault Kwid,Renault,2016,60720,Petrol,Manual,4026,181000,10,Patna
Maruti Alto K10,Maruti,2012,50667,Petrol,Manual,11906,134000,14,Patna
Maruti Swift,Maruti,2013,149098,Diesel,Manual,20258,227999,13,Patna
Mahindra Kuv100,Mahindra,2016,17581,Diesel,Manual,6794,258000,10,Patna
Maruti Wagon R 1.0,Maruti,2013,140827,Petrol,Manual,8426,179000,13,Patna
Honda City,Honda,2013,75426,Petrol,Manual,10745,227999,13,Patna
Maruti Alto K10,Maruti,2017,49511,Petrol,Manual,4497,229999,9,Patna
Hyundai Xcent,Hyundai,2014,69262,Petrol,Manual,6942,209000,12,Patna
Maruti Swift,Maruti,2013,65873,Petrol,Manual,11533,245000,13,Patna
Mahindra Scorpio,Mahindra,2014,205700,Diesel,Manual,12239,260000,12,Patna
Hyundai i10,Hyundai,2012,79571,Petrol,Manual,9063,102000,14,Patna
Ford New Figo,Ford,2017,105351,Petrol,Manual,4849,218000,9,Patna
Maruti Alto 800,Maruti,2013,24413,Petrol,Manual,7908,168000,13,Patna
MG ASTOR,MG,2021,25580,Petrol,Auto,22088,1290000,5,Patna
Tata Indica Vista,Tata,2012,38969,Diesel,Manual,22088,65000,14,Patna
KIA SELTOS,KIA,2020,81690,Diesel,Auto,17037,994999,6,Patna
Mahindra XUV500,Mahindra,2014,55321,Diesel,Manual,20195,429000,12,Patna
Chevrolet Cruze,Chevrolet,2012,56832,Diesel,Manual,20195,194000,14,Patna
Tata Tiago,Tata,2024,51413,Petrol,Manual,11298,640000,2,Patna
Maruti Wagon R 1.0,Maruti,2018,50840,Petrol,Manual,4749,269000,8,Patna
Maruti Swift Dzire,Maruti,2014,72737,Diesel,Manual,13228,281000,12,Patna
Maruti Swift Dzire,Maruti,2015,145550,Diesel,Manual,10396,313000,11,Patna
MG HECTOR,MG,2019,33035,Petrol,Auto,22139,1293000,7,Patna
Maruti Dzire,Maruti,2019,158519,Diesel,Manual,10989,494000,7,Patna
Maruti Wagon R 1.0,Maruti,2013,72548,Petrol,Manual,9697,206000,13,Patna
Tata Indigo ECS,Tata,2015,99416,Diesel,Manual,5148,155000,11,Patna
Hyundai Grand i10,Hyundai,2016,72231,Petrol,Manual,5606,252000,10,Patna
Tata TIGOR,Tata,2022,177000,Petrol,Manual,12657,569000,4,Patna
Tata NEXON,Tata,2019,69787,Petrol,Manual,10592,600000,7,Patna
Maruti Swift,Maruti,2011,60834,Petrol,Manual,10592,130000,15,Patna
Maruti Alto,Maruti,2011,15342,Petrol,Manual,10592,94000,15,Patna
Tata NEXON,Tata,2021,66274,Petrol,Auto,13240,750000,5,Patna
Tata NEXON,Tata,2022,35848,Petrol,Manual,16592,969000,4,Patna
Toyota Innova Crysta,Toyota,2021,111502,Diesel,Auto,36962,1700000,5,Patna
Hyundai GRAND I10 NIOS,Hyundai,2022,67745,Petrol,Manual,11033,625000,4,Patna
Maruti Wagon R 1.0,Maruti,2011,72387,Petrol,Manual,11033,136000,15,Patna
Maruti Swift Dzire,Maruti,2016,106925,Petrol,Manual,8008,360000,10,Patna
Chevrolet Spark,Chevrolet,2013,50812,Petrol,Manual,4095,87000,13,Patna
Datsun Go Plus,Datsun,2016,42202,Petrol,Manual,3804,171000,10,Patna
Volkswagen Vento,Volkswagen,2012,124947,Diesel,Manual,3804,148000,14,Patna
Maruti Vitara Brezza,Maruti,2016,85841,Diesel,Manual,16538,628000,10,Patna
Audi A6,Audi,2015,89219,Diesel,Auto,32739,1000000,11,Patna
Hyundai i10,Hyundai,2011,40198,Petrol,Manual,32739,160000,15,Patna
Toyota Fortuner,Toyota,2015,68368,Diesel,Auto,37158,1135000,11,Patna
Maruti Wagon R 1.0,Maruti,2011,65926,Petrol,Manual,37158,131000,15,Patna
Maruti New Wagon-R,Maruti,2021,44699,Petrol,Manual,9021,511000,5,Patna
Hyundai Xcent,Hyundai,2015,80402,Diesel,Manual,7905,238000,11,Patna
Tata NEXON,Tata,2022,75563,Petrol,Auto,14109,824000,4,Patna
Maruti Alto K10,Maruti,2010,53720,Petrol,Manual,14109,119000,16,Patna
Honda City,Honda,2016,155892,Petrol,Manual,13525,608000,10,Patna
Maruti Wagon R 1.0,Maruti,2016,112357,Petrol,Manual,5428,244000,10,Patna
Hyundai i10,Hyundai,2011,99580,Petrol,Manual,5428,94000,15,Patna
Hyundai Santro Xing,Hyundai,2011,22150,Petrol,Manual,5428,100000,15,Patna
Maruti Zen Estilo,Maruti,2011,129698,Petrol,Manual,5428,112999,15,Patna
Maruti Swift Dzire,Maruti,2015,188000,Diesel,Manual,9234,278000,11,Patna
Renault Duster,Renault,2015,73350,Diesel,Manual,9134,275000,11,Patna
Ford Figo,Ford,2011,81934,Petrol,Manual,9134,75000,15,Patna
Ford Ecosport,Ford,2015,3,Diesel,Manual,10894,328000,11,Patna
Tata Tiago,Tata,2016,129210,Petrol,Manual,5650,254000,10,Patna
Maruti Dzire,Maruti,2018,52088,Petrol,Manual,9215,522000,8,Patna
Maruti IGNIS,Maruti,2018,26896,Petrol,Manual,6090,345000,8,Patna
Renault Duster,Renault,2014,163310,Diesel,Manual,14028,298000,12,Patna
Hyundai Verna,Hyundai,2018,68217,Petrol,Manual,11704,663000,8,Patna
Maruti FRONX,Maruti,2025,5860,Petrol,Manual,12233,693000,1,Patna
Tata TIGOR,Tata,2022,37283,Petrol,Manual,9709,550000,4,Patna
Hyundai Elite i20,Hyundai,2019,39242,Petrol,Manual,7132,404000,7,Patna
Toyota Etios,Toyota,2011,49606,Petrol,Manual,7132,167000,15,Patna
Maruti Swift Dzire,Maruti,2014,87739,Petrol,Manual,9034,272000,12,Patna
Tata NEXON,Tata,2018,86782,Diesel,Auto,9775,500000,8,Patna
Maruti Vitara Brezza,Maruti,2022,17616,Petrol,Manual,15444,902000,4,Patna
Ford Ecosport,Ford,2017,84665,Diesel,Manual,10766,484000,9,Patna
Maruti Vitara Brezza,Maruti,2016,140000,Diesel,Manual,12245,465000,10,Patna
Mahindra Scorpio,Mahindra,2017,10605,Diesel,Manual,19025,875000,9,Patna
Maruti New Wagon-R,Maruti,2021,149788,Petrol,Manual,10611,476999,5,Patna
Ford Ecosport,Ford,2019,33185,Petrol,Manual,11474,650000,7,Patna
Maruti Swift Dzire,Maruti,2016,132491,Petrol,Manual,7299,328000,10,Patna
Maruti Dzire,Maruti,2017,56157,Diesel,Manual,7786,350000,9,Patna
Hyundai i20 Active,Hyundai,2017,52457,Petrol,Manual,9443,483000,9,Patna
Maruti Baleno,Maruti,2016,58209,Petrol,Manual,9454,425000,10,Patna
Hyundai i20 Active,Hyundai,2017,126640,Petrol,Manual,8431,379000,9,Patna
Maruti Dzire,Maruti,2022,55713,Petrol,Manual,10380,588000,4,Patna
Maruti S Cross,Maruti,2021,93921,Petrol,Manual,15239,890000,5,Patna
Maruti Dzire,Maruti,2020,26046,Petrol,Manual,9568,542000,6,Patna
Maruti Alto,Maruti,2021,40068,Petrol,Manual,5755,326000,5,Patna
Mahindra XUV500,Mahindra,2017,37063,Diesel,Manual,16092,723000,9,Patna
Maruti IGNIS,Maruti,2022,68291,Petrol,Manual,6178,350000,4,Patna
Hyundai GRAND I10 NIOS,Hyundai,2019,65500,Diesel,Manual,9374,531000,7,Patna
Maruti Vitara Brezza,Maruti,2021,44684,Petrol,Manual,11986,679000,5,Patna
Maruti XL6,Maruti,2022,37756,Petrol,Auto,21609,1262000,4,Patna
Mahindra Bolero,Mahindra,2020,51447,Diesel,Manual,9303,527000,6,Patna
Maruti Baleno,Maruti,2020,78842,Petrol,Manual,8209,465000,6,Patna
Mahindra XUV700,Mahindra,2022,82939,Diesel,Auto,34896,2038000,4,Patna
Tata PUNCH,Tata,2021,31975,Petrol,Auto,14999,876000,5,Patna
Hyundai Grand i10,Hyundai,2017,48183,Petrol,Manual,6925,354000,9,Patna
Honda Amaze,Honda,2021,63495,Petrol,Manual,12586,713000,5,Patna
