Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Hyundai i20,Hyundai,2012,104967,Diesel,Manual,7141,210000,14,Nagpur
Nissan MAGNITE,Nissan,2025,4578,Petrol,Auto,12004,680000,1,Nagpur
Honda Brio,Honda,2013,28192,Petrol,Manual,8473,180000,13,Nagpur
Mahindra Bolero,Mahindra,2018,189095,Diesel,Manual,4605,206999,8,Nagpur
Hyundai Santro Xing,Hyundai,2011,90143,Petrol,Manual,4605,114999,15,Nagpur
Hyundai i20,Hyundai,2012,53431,Petrol,Manual,19191,216000,14,Nagpur
Nissan MAGNITE,Nissan,2023,39582,Petrol,Manual,9038,512000,3,Nagpur
Skoda Superb,Skoda,2011,95088,Petrol,Auto,9038,222000,15,Nagpur
Maruti Swift Dzire,Maruti,2016,172465,Diesel,Manual,7505,285000,10,Nagpur
Hyundai Eon,Hyundai,2012,38389,Petrol,Manual,13061,147000,14,Nagpur
Chevrolet Beat,Chevrolet,2012,125000,Diesel,Manual,13061,94000,14,Nagpur
Tata Tiago,Tata,2018,116430,Petrol,Manual,6735,303000,8,Nagpur
Maruti S PRESSO,Maruti,2020,46656,Petrol,Manual,5719,324000,6,Nagpur
Maruti Baleno,Maruti,2016,53995,Petrol,Manual,7941,357000,10,Nagpur
Hyundai Elite i20,Hyundai,2015,67297,Diesel,Manual,13186,397000,11,Nagpur
Tata Nano,Tata,2015,52858,Petrol,Manual,2238,85000,11,Nagpur
Fiat Linea,Fiat,2014,54827,Petrol,Manual,4584,138000,12,Nagpur
Maruti Swift,Maruti,2013,67337,Petrol,Manual,12569,267000,13,Nagpur
Volkswagen Polo,Volkswagen,2011,43938,Petrol,Manual,12569,140000,15,Nagpur
KIA CARENS,KIA,2024,17811,Petrol,Manual,20239,1182000,2,Nagpur
Maruti Baleno,Maruti,2018,93845,Petrol,Manual,6973,395000,8,Nagpur
Maruti Alto 800,Maruti,2014,82322,Petrol,Manual,6776,204000,12,Nagpur
Chevrolet Sail,Chevrolet,2014,110174,Petrol,Manual,4351,131000,12,Nagpur
Volkswagen Vento,Volkswagen,2012,76921,Petrol,Manual,15460,174000,14,Nagpur
Datsun Go,Datsun,2018,20132,Petrol,Manual,3177,180000,8,Nagpur
Hyundai Elite i20,Hyundai,2014,146761,Diesel,Manual,15534,330000,12,Nagpur
Maruti Dzire,Maruti,2022,23647,Petrol,Manual,12886,730000,4,Nagpur
Maruti Celerio,Maruti,2019,158894,Petrol,Manual,7118,320000,7,Nagpur
Ford Fiesta,Ford,2012,91828,Diesel,Manual,7118,101000,14,Nagpur
Honda Brio,Honda,2012,69842,Petrol,Manual,17503,197000,14,Nagpur
Chevrolet Sail UVA,Chevrolet,2013,96335,Petrol,Manual,3860,82000,13,Nagpur
MG HECTOR PLUS,MG,2021,45674,Diesel,Manual,25940,1515000,5,Nagpur
Hyundai i10,Hyundai,2015,50108,Petrol,Manual,6583,250000,11,Nagpur
Hyundai Elite i20,Hyundai,2017,39299,Petrol,Manual,8309,425000,9,Nagpur
Chevrolet Spark,Chevrolet,2010,3,Petrol,Manual,8309,66000,16,Nagpur
Maruti Wagon R 1.0,Maruti,2014,97726,Petrol,Manual,8337,250999,12,Nagpur
Hyundai Verna,Hyundai,2012,188719,Diesel,Auto,8337,245000,14,Nagpur
Hyundai Verna,Hyundai,2020,67083,Diesel,Manual,13903,811999,6,Nagpur
Ford Figo Aspire,Ford,2017,138069,Diesel,Manual,6228,280000,9,Nagpur
Volkswagen Vento,Volkswagen,2012,25502,Diesel,Manual,6228,163000,14,Nagpur
Hyundai Eon,Hyundai,2012,52225,Petrol,Manual,12883,145000,14,Nagpur
Hyundai Elite i20,Hyundai,2017,58406,Petrol,Manual,7976,408000,9,Nagpur
MG HECTOR PLUS,MG,2021,129699,Diesel,Manual,29352,1350000,5,Nagpur
Tata Manza,Tata,2010,201650,Diesel,Manual,29352,70000,16,Nagpur
Nissan Sunny,Nissan,2011,56165,Petrol,Manual,29352,110000,15,Nagpur
Renault Lodgy,Renault,2015,137009,Diesel,Manual,5979,180000,11,Nagpur
Hyundai NEW SANTRO,Hyundai,2018,70149,Petrol,Auto,5561,315000,8,Nagpur
Fiat Linea,Fiat,2014,88190,Petrol,Manual,5015,151000,12,Nagpur
Maruti Celerio,Maruti,2018,34700,Petrol,Auto,5984,339000,8,Nagpur
Mahindra TUV300,Mahindra,2016,107277,Diesel,Auto,11192,425000,10,Nagpur
Renault Duster,Renault,2012,103074,Diesel,Manual,11192,200000,14,Nagpur
